mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.027,3.5,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.051,3.5,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.002,3.5,1.5,5.5
conflict_curve,0.0,lgbm_basic,0.011,3.5,1.5,5.5
conflict_curve,0.0,torch_mlp_advanced,0.026,3.5,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.024,3.5,1.5,6.0
conflict_curve,0.05,ecfp_linear,0.028,3.5,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.042,3.5,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.006,3.5,1.5,5.5
conflict_curve,0.05,lgbm_basic,0.014,3.5,1.5,5.5
conflict_curve,0.05,torch_mlp_advanced,0.022,3.5,1.5,6.0
conflict_curve,0.05,torch_mlp_basic,0.019,3.5,1.5,6.0
conflict_curve,0.1,ecfp_linear,0.021,3.5,1.5,6.0
conflict_curve,0.1,ecfp_rf,0.057,3.5,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.006,3.5,2.0,5.5
conflict_curve,0.1,lgbm_basic,0.01,3.5,1.5,5.5
conflict_curve,0.1,torch_mlp_advanced,0.018,3.5,1.5,6.0
conflict_curve,0.1,torch_mlp_basic,0.013,3.5,1.5,6.0
conflict_curve,0.25,ecfp_linear,0.107,3.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.003,5.5,2.0,6.0
conflict_curve,0.25,lgbm_advanced,0.006,4.0,2.0,5.5
conflict_curve,0.25,lgbm_basic,0.028,3.0,1.0,5.5
conflict_curve,0.25,torch_mlp_advanced,0.047,3.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.127,2.5,1.0,5.5
conflict_curve,0.5,ecfp_linear,0.084,2.5,1.0,5.0
conflict_curve,0.5,ecfp_rf,0.0,5.5,3.5,6.0
conflict_curve,0.5,lgbm_advanced,0.001,4.0,2.0,5.5
conflict_curve,0.5,lgbm_basic,0.012,3.5,1.5,5.0
conflict_curve,0.5,torch_mlp_advanced,0.018,3.0,1.5,5.5
conflict_curve,0.5,torch_mlp_basic,0.123,2.0,1.0,4.0
conflict_curve,0.75,ecfp_linear,0.077,3.0,1.0,5.0
conflict_curve,0.75,ecfp_rf,0.0,5.0,3.5,6.0
conflict_curve,0.75,lgbm_advanced,0.001,4.0,2.4875000000000007,5.5
conflict_curve,0.75,lgbm_basic,0.016,3.5,1.5,5.0
conflict_curve,0.75,torch_mlp_advanced,0.022,3.0,1.5,5.5
conflict_curve,0.75,torch_mlp_basic,0.094,2.5,1.0,4.5
conflict_curve,observed,ecfp_linear,0.026,3.5,1.0,6.0
conflict_curve,observed,ecfp_rf,0.041,3.5,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.007,3.5,2.0,5.5
conflict_curve,observed,lgbm_basic,0.003,3.5,1.5,5.5
conflict_curve,observed,torch_mlp_advanced,0.019,3.5,1.5,6.0
conflict_curve,observed,torch_mlp_basic,0.016,3.5,1.5,6.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.0,ecfp_rf,0.642,1.0,1.0,3.0
leakage_curve,0.0,lgbm_advanced,0.26,2.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.095,3.0,1.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.002,4.0,4.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.001,5.0,4.0,6.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.05,ecfp_rf,0.63,1.0,1.0,3.0
leakage_curve,0.05,lgbm_advanced,0.265,2.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.096,3.0,1.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.007,4.0,3.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.001,5.0,4.0,6.0
leakage_curve,0.1,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.1,ecfp_rf,0.634,1.0,1.0,3.0
leakage_curve,0.1,lgbm_advanced,0.261,2.0,1.0,3.0
leakage_curve,0.1,lgbm_basic,0.099,3.0,1.0,4.0
leakage_curve,0.1,torch_mlp_advanced,0.001,4.0,3.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.004,5.0,4.0,6.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.25,ecfp_rf,0.611,1.0,1.0,4.0
leakage_curve,0.25,lgbm_advanced,0.293,2.0,1.0,3.0
leakage_curve,0.25,lgbm_basic,0.082,3.0,1.0,4.0
leakage_curve,0.25,torch_mlp_advanced,0.012,4.0,2.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.002,5.0,3.0,6.0
leakage_curve,0.5,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.5,ecfp_rf,0.584,1.0,1.0,4.0
leakage_curve,0.5,lgbm_advanced,0.284,2.0,1.0,4.0
leakage_curve,0.5,lgbm_basic,0.092,3.0,1.0,5.0
leakage_curve,0.5,torch_mlp_advanced,0.03,4.0,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.009,5.0,2.0,6.0
leakage_curve,0.75,ecfp_linear,0.001,6.0,4.0,6.0
leakage_curve,0.75,ecfp_rf,0.407,2.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.393,2.0,1.0,4.0
leakage_curve,0.75,lgbm_basic,0.051,3.0,1.0,5.0
leakage_curve,0.75,torch_mlp_advanced,0.13,4.0,1.0,6.0
leakage_curve,0.75,torch_mlp_basic,0.018,5.0,2.0,6.0
leakage_curve,observed,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,observed,ecfp_rf,0.654,1.0,1.0,4.0
leakage_curve,observed,lgbm_advanced,0.251,2.0,1.0,3.0
leakage_curve,observed,lgbm_basic,0.082,3.0,1.0,4.0
leakage_curve,observed,torch_mlp_advanced,0.011,4.0,3.0,6.0
leakage_curve,observed,torch_mlp_basic,0.002,5.0,3.0,6.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_basic,0.0,3.0,3.0,3.0
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
random_matched_control,0.0,ecfp_linear,0.011,5.5,1.5,6.0
random_matched_control,0.0,ecfp_rf,0.358,2.5,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.1095,3.0,1.0,4.512499999999932
random_matched_control,0.0,lgbm_basic,0.0615,3.0,1.0,5.0
random_matched_control,0.0,torch_mlp_advanced,0.01,4.0,2.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.006,4.0,2.0,6.0
random_matched_control,0.05,ecfp_linear,0.0095,5.5,2.0,6.0
