metric,group,label,count,fraction,value
rows_total,,,670,1.0,670.0
rows_train,train,,469,0.7,469.0
rows_valid,valid,,67,0.1,67.0
rows_test,test,,134,0.2,134.0
valid_molecules,,,670,1.0,670.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,1,0.007462686567164179,1.0
near_train_analogues,,,4,0.029850746268656716,4.0
same_scaffold_test_molecules,,,39,0.291044776119403,39.0
audit_clean_test_molecules,,,94,0.7014925373134329,94.0
audit_group_count,audit_clean,,94,0.7014925373134329,94.0
audit_group_count,same_scaffold,,36,0.26865671641791045,36.0
audit_group_count,near_train_analogue,,3,0.022388059701492536,3.0
audit_group_count,exact_leak,,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.0,48,0.5106382978723404,48.0
label_distribution_by_audit_group,audit_clean,1.0,46,0.48936170212765956,46.0
label_distribution_by_audit_group,exact_leak,0.0,1,1.0,1.0
label_distribution_by_audit_group,near_train_analogue,0.0,2,0.6666666666666666,2.0
label_distribution_by_audit_group,near_train_analogue,1.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,same_scaffold,0.0,16,0.4444444444444444,16.0
label_distribution_by_audit_group,same_scaffold,1.0,20,0.5555555555555556,20.0
