mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.010720189213427878,0.010720189213427878,0.010720189213427878,0.010720189213427878,1.0
leakage_curve,0.0,0.010485188859754798,0.010612288285734628,-0.014997165332010348,0.03448107859117005,0.79
leakage_curve,0.05,0.010057904411764702,0.009756787330316818,-0.013470376131221809,0.03521546238687781,0.792
leakage_curve,0.1,0.010146050408335683,0.009469163615882792,-0.011549563503238497,0.03340872289495915,0.818
leakage_curve,0.25,0.008122977799565806,0.00808880173681642,-0.011135233559772976,0.028263533860914552,0.798
leakage_curve,0.5,0.006267509050403796,0.006613756613756627,-0.007623224728487865,0.01947142160957955,0.826
leakage_curve,0.75,0.004388325578165148,0.004444753107854749,-0.003126953260643156,0.010939127717202565,0.896
leakage_curve,observed,0.00957223985890652,0.009629629629629655,-0.012600529100529107,0.03174955908289263,0.788
observed_composition,observed,0.009941760560316591,0.009941760560316593,0.009941760560316593,0.009941760560316593,1.0
random_matched_control,0.0,0.010192134107027734,0.01008310050863237,-0.011571387635217447,0.03116269073715872,0.828
random_matched_control,0.05,0.009600687728347313,0.00952790314492441,-0.01039114549752833,0.03166415932373379,0.82
random_matched_control,0.1,0.009704957375170149,0.009348807221147781,-0.010248764238125953,0.030702414213052535,0.82
random_matched_control,0.25,0.00972254459488503,0.00981445662296726,-0.010855003940110372,0.02947918905365699,0.837
random_matched_control,0.5,0.00962894906511928,0.00979654703058963,-0.010654416505480298,0.030375564152159897,0.81
random_matched_control,0.75,0.010147145210975005,0.01006519091625474,-0.010924851350383347,0.032310695608567995,0.831
random_matched_control,observed,0.01012271652697186,0.01024428684003148,-0.009859230603911414,0.030808080808080878,0.824
