metric,group,label,count,fraction,value
rows_total,,,902,1.0,902.0
rows_train,train,,629,0.697339246119734,629.0
rows_valid,valid,,91,0.1008869179600887,91.0
rows_test,test,,182,0.2017738359201774,182.0
valid_molecules,,,902,1.0,902.0
test_label_conflicts,,,4,0.02197802197802198,4.0
exact_test_leaks,,,21,0.11538461538461539,21.0
near_train_analogues,,,42,0.23076923076923078,42.0
same_scaffold_test_molecules,,,92,0.5054945054945055,92.0
audit_clean_test_molecules,,,81,0.44505494505494503,81.0
audit_group_count,audit_clean,,81,0.44505494505494503,81.0
audit_group_count,same_scaffold,,59,0.3241758241758242,59.0
audit_group_count,near_train_analogue,,21,0.11538461538461539,21.0
audit_group_count,exact_leak,,17,0.09340659340659341,17.0
audit_group_count,label_conflict,,4,0.02197802197802198,4.0
label_distribution_by_audit_group,audit_clean,-7.2277412,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-7.179570699999998,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-7.0307584,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.3200002,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.3000002,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.2600002,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.2314224000000005,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.1599998,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.1314831,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.0727587,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-6.0107207,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-5.9411516,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-5.8899999,2,0.024691358024691357,2.0
label_distribution_by_audit_group,audit_clean,-5.8313413,1,0.012345679012345678,1.0
label_distribution_by_audit_group,audit_clean,-5.7979398,2,0.024691358024691357,2.0
label_distribution_by_audit_group,audit_clean,-5.6900001,2,0.024691358024691357,2.0
label_distribution_by_audit_group,audit_clean,-5.6697760000000015,1,0.012345679012345678,1.0
