mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,4.0,4.0,4.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
conflict_curve,0.0,ecfp_linear,0.083,4.0,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.273,2.0,1.0,4.0
conflict_curve,0.0,lgbm_advanced,0.415,2.0,1.0,4.0
conflict_curve,0.0,lgbm_basic,0.198,3.0,1.0,4.0
conflict_curve,0.0,torch_mlp_advanced,0.028,5.0,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.003,6.0,4.0,6.0
conflict_curve,0.05,ecfp_linear,0.089,4.0,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.292,2.0,1.0,4.0
conflict_curve,0.05,lgbm_advanced,0.389,2.0,1.0,4.0
conflict_curve,0.05,lgbm_basic,0.192,3.0,1.0,4.0
conflict_curve,0.05,torch_mlp_advanced,0.032,5.0,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.006,6.0,4.0,6.0
conflict_curve,0.1,ecfp_linear,0.109,4.0,1.0,6.0
conflict_curve,0.1,ecfp_rf,0.368,2.0,1.0,4.0
conflict_curve,0.1,lgbm_advanced,0.295,2.0,1.0,4.0
conflict_curve,0.1,lgbm_basic,0.187,3.0,1.0,5.0
conflict_curve,0.1,torch_mlp_advanced,0.037,5.0,1.0,6.0
conflict_curve,0.1,torch_mlp_basic,0.004,6.0,4.0,6.0
conflict_curve,0.25,ecfp_linear,0.132,4.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.314,2.0,1.0,4.0
conflict_curve,0.25,lgbm_advanced,0.281,2.0,1.0,5.0
conflict_curve,0.25,lgbm_basic,0.187,3.0,1.0,5.0
conflict_curve,0.25,torch_mlp_advanced,0.067,5.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.019,6.0,2.0,6.0
conflict_curve,0.5,ecfp_linear,0.113,4.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.269,2.0,1.0,5.0
conflict_curve,0.5,lgbm_advanced,0.26,2.0,1.0,5.0
conflict_curve,0.5,lgbm_basic,0.228,3.0,1.0,6.0
conflict_curve,0.5,torch_mlp_advanced,0.102,5.0,1.0,6.0
conflict_curve,0.5,torch_mlp_basic,0.028,6.0,1.0,6.0
conflict_curve,0.75,ecfp_linear,0.134,4.0,1.0,6.0
conflict_curve,0.75,ecfp_rf,0.07,4.0,1.0,6.0
conflict_curve,0.75,lgbm_advanced,0.185,2.0,1.0,4.0
conflict_curve,0.75,lgbm_basic,0.445,2.0,1.0,5.024999999999977
conflict_curve,0.75,torch_mlp_advanced,0.1,5.0,1.0,6.0
conflict_curve,0.75,torch_mlp_basic,0.066,6.0,1.0,6.0
conflict_curve,observed,ecfp_linear,0.06,4.0,1.0,6.0
conflict_curve,observed,ecfp_rf,0.282,2.0,1.0,4.0
conflict_curve,observed,lgbm_advanced,0.381,2.0,1.0,4.0
conflict_curve,observed,lgbm_basic,0.233,2.0,1.0,5.0
conflict_curve,observed,torch_mlp_advanced,0.04,5.0,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.004,6.0,4.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,0.0,ecfp_rf,0.275,2.0,1.0,3.0
leakage_curve,0.0,lgbm_advanced,0.723,1.0,1.0,2.0
leakage_curve,0.0,lgbm_basic,0.002,3.0,2.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.05,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,0.05,ecfp_rf,0.279,2.0,1.0,3.0
leakage_curve,0.05,lgbm_advanced,0.718,1.0,1.0,2.0
leakage_curve,0.05,lgbm_basic,0.003,3.0,2.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.05,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.1,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,0.1,ecfp_rf,0.281,2.0,1.0,3.0
leakage_curve,0.1,lgbm_advanced,0.713,1.0,1.0,2.0
leakage_curve,0.1,lgbm_basic,0.006,3.0,2.0,3.0
leakage_curve,0.1,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.1,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.25,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,0.25,ecfp_rf,0.321,2.0,1.0,3.0
leakage_curve,0.25,lgbm_advanced,0.664,1.0,1.0,2.0
leakage_curve,0.25,lgbm_basic,0.015,3.0,2.0,3.0
leakage_curve,0.25,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.25,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.5,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,0.5,ecfp_rf,0.286,2.0,1.0,3.0
leakage_curve,0.5,lgbm_advanced,0.683,1.0,1.0,3.0
leakage_curve,0.5,lgbm_basic,0.031,3.0,1.0,3.0
leakage_curve,0.5,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.5,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.75,ecfp_linear,0.017,4.0,2.0,4.0
leakage_curve,0.75,ecfp_rf,0.227,2.0,1.0,4.0
leakage_curve,0.75,lgbm_advanced,0.643,1.0,1.0,3.0
leakage_curve,0.75,lgbm_basic,0.113,3.0,1.0,4.0
leakage_curve,0.75,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,observed,ecfp_linear,0.0,4.0,4.0,4.0
leakage_curve,observed,ecfp_rf,0.327,2.0,1.0,3.0
leakage_curve,observed,lgbm_advanced,0.654,1.0,1.0,2.0
leakage_curve,observed,lgbm_basic,0.019,3.0,2.0,3.0
leakage_curve,observed,torch_mlp_advanced,0.0,5.0,5.0,5.0
leakage_curve,observed,torch_mlp_basic,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_linear,0.0,4.0,4.0,4.0
observed_composition,observed,ecfp_rf,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,3.0,3.0,3.0
observed_composition,observed,torch_mlp_advanced,0.0,5.0,5.0,5.0
observed_composition,observed,torch_mlp_basic,0.0,6.0,6.0,6.0
random_matched_control,0.0,ecfp_linear,0.06,4.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.287,2.0,1.0,4.0
random_matched_control,0.0,lgbm_advanced,0.4085,2.0,1.0,4.0
random_matched_control,0.0,lgbm_basic,0.209,2.0,1.0,4.0
random_matched_control,0.0,torch_mlp_advanced,0.03,5.0,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.0055,6.0,4.0,6.0
random_matched_control,0.05,ecfp_linear,0.0555,4.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.299,2.0,1.0,4.0
random_matched_control,0.05,lgbm_advanced,0.4265,2.0,1.0,4.0
random_matched_control,0.05,lgbm_basic,0.19,2.0,1.0,4.0
random_matched_control,0.05,torch_mlp_advanced,0.0245,5.0,2.0,6.0
random_matched_control,0.05,torch_mlp_basic,0.0045,6.0,5.0,6.0
random_matched_control,0.1,ecfp_linear,0.0635,4.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.269,2.0,1.0,4.0
random_matched_control,0.1,lgbm_advanced,0.4325,2.0,1.0,4.0
random_matched_control,0.1,lgbm_basic,0.2045,2.0,1.0,4.0
random_matched_control,0.1,torch_mlp_advanced,0.027,5.0,1.0,6.0
random_matched_control,0.1,torch_mlp_basic,0.0035,6.0,5.0,6.0
random_matched_control,0.25,ecfp_linear,0.059,4.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.2855,2.0,1.0,4.0
random_matched_control,0.25,lgbm_advanced,0.3985,2.0,1.0,4.0
random_matched_control,0.25,lgbm_basic,0.2195,2.0,1.0,4.0
random_matched_control,0.25,torch_mlp_advanced,0.033,5.0,1.0,5.024999999999864
random_matched_control,0.25,torch_mlp_basic,0.0045,6.0,4.975000000000001,6.0
random_matched_control,0.5,ecfp_linear,0.0595,4.0,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.276,2.0,1.0,4.0
random_matched_control,0.5,lgbm_advanced,0.434,2.0,1.0,4.0
random_matched_control,0.5,lgbm_basic,0.1975,2.0,1.0,4.0
