mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.015281905253755943,0.015281905253755945,0.015281905253755945,0.015281905253755945,1.0
conflict_curve,0.0,0.04725454309621884,0.045114571729885866,-0.15413546191948485,0.2619378028632714,0.644
conflict_curve,0.05,0.03655361135673179,0.027705498233951464,-0.16756344402273948,0.27870222718853105,0.598
conflict_curve,0.1,0.010847553354315522,0.002508890698474653,-0.18027977837242798,0.23544297052523716,0.51
conflict_curve,0.25,0.014894280712783118,0.006986478778819805,-0.1773281921725089,0.25092223850128526,0.525
conflict_curve,0.5,0.01405338740379378,0.005380983718344612,-0.16023902870539528,0.20651128149432788,0.532
conflict_curve,0.75,0.0522252240106909,0.04458759991695593,-0.09759463531917989,0.19641927587885977,0.873
conflict_curve,observed,0.04041433157140335,0.036610749240109375,-0.17031832940485692,0.26719193339515734,0.629
leakage_curve,0.0,0.016395223851999416,0.016345573215303666,-0.03436456905573946,0.06873976170914642,0.725
leakage_curve,0.05,0.015781993517162085,0.015784007369552377,-0.039181559949101455,0.06968887447836729,0.721
leakage_curve,0.1,0.016688651524452494,0.016301992744397642,-0.03795509289736295,0.07056069868145527,0.717
leakage_curve,0.25,0.015262205515741343,0.015721734163766155,-0.0447394411157562,0.07626858154623993,0.679
leakage_curve,0.5,0.0175695571836108,0.01862043330417329,-0.045067056032251106,0.0768875051252997,0.707
leakage_curve,0.75,0.01895103936356968,0.01909944300284086,-0.030241761374913523,0.06984520176543607,0.753
leakage_curve,observed,0.014092348841499926,0.01357662894040848,-0.04447322141208074,0.07841198087267073,0.669
observed_composition,observed,0.014035925756456402,0.014035925756456402,0.014035925756456402,0.014035925756456402,1.0
random_matched_control,0.0,0.012167302374857542,0.012230005669996713,-0.1428749352811237,0.18479514351873294,0.6025
random_matched_control,0.05,0.013801494850504121,0.011542479983049692,-0.14132621482376265,0.19466149402721877,0.6045
random_matched_control,0.1,0.015145806244427639,0.016852528968352737,-0.14647760111031255,0.18257317915284543,0.634
random_matched_control,0.25,0.01328700459005199,0.011916532827613222,-0.14048783592775346,0.19464879225582868,0.602
random_matched_control,0.5,0.014055506470729614,0.012415536847605074,-0.13589534135969883,0.17491366101953135,0.6175
random_matched_control,0.75,0.014791169918323065,0.012593322956999803,-0.13546282318842007,0.1852248228410478,0.6065
random_matched_control,observed,0.012167562053215487,0.01057204102331627,-0.13902492016140214,0.19459817029762677,0.595
