metric,group,label,count,fraction,value
rows_total,,,1109,1.0,1109.0
rows_train,train,,755,0.6807935076645627,755.0
rows_valid,valid,,119,0.1073038773669973,119.0
rows_test,test,,235,0.21190261496844004,235.0
valid_molecules,,,1109,1.0,1109.0
test_label_conflicts,,,56,0.23829787234042554,56.0
exact_test_leaks,,,55,0.23404255319148937,55.0
near_train_analogues,,,74,0.3148936170212766,74.0
same_scaffold_test_molecules,,,111,0.4723404255319149,111.0
audit_clean_test_molecules,,,113,0.4808510638297872,113.0
audit_group_count,audit_clean,,113,0.4808510638297872,113.0
audit_group_count,label_conflict,,56,0.23829787234042554,56.0
audit_group_count,same_scaffold,,44,0.18723404255319148,44.0
audit_group_count,near_train_analogue,,19,0.08085106382978724,19.0
audit_group_count,exact_leak,,3,0.01276595744680851,3.0
label_distribution_by_audit_group,audit_clean,3.0,19,0.168141592920354,19.0
label_distribution_by_audit_group,audit_clean,3.09,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,3.91,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,3.98,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,4.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,4.17,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,4.27,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,5.13,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,5.29,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,6.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,6.17,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,6.92,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,7.08,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,7.94,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,8.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,9.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,9.55,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,10.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,11.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,12.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,12.02,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,12.3,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,13.49,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,13.8,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,14.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,15.0,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,16.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,16.6,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,18.2,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,19.05,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,19.5,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,20.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,20.42,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,21.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,21.88,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,22.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,22.39,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,23.0,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,23.99,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,26.3,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,28.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,29.0,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,29.51,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,39.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,39.81,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,40.74,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,44.67,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,50.12,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,51.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,52.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,52.48,2,0.017699115044247787,2.0
label_distribution_by_audit_group,audit_clean,53.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,54.95,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,57.11,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,58.88,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,61.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,66.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,70.79,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,72.44,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,74.13,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,75.86,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,83.18,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,91.2,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,93.03,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,95.5,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,103.2,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,107.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,114.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,118.0,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,138.04,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,144.54,1,0.008849557522123894,1.0
label_distribution_by_audit_group,audit_clean,150.0,17,0.1504424778761062,17.0
label_distribution_by_audit_group,exact_leak,3.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,exact_leak,4.46,1,0.3333333333333333,1.0
