mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.7333333333333332,0.7333333333333333,0.7333333333333333,0.7333333333333333
conflict_curve,0.0,0.7290666666666664,0.7333333333333333,0.4666666666666666,0.8666666666666666
conflict_curve,0.05,0.7653333333333332,0.7333333333333333,0.4666666666666666,0.9999999999999999
conflict_curve,0.1,0.7982666666666667,0.8666666666666666,0.6,0.9999999999999999
conflict_curve,0.25,0.8973333333333332,0.8666666666666666,0.6,0.9999999999999999
conflict_curve,0.5,0.9774666666666667,0.9999999999999999,0.8666666666666666,0.9999999999999999
conflict_curve,0.75,0.9729333333333332,0.9999999999999999,0.7333333333333333,0.9999999999999999
conflict_curve,observed,0.8847999999999999,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.0,0.6182666666666666,0.7333333333333333,-0.06666666666666665,0.9999999999999999
leakage_curve,0.05,0.6374666666666666,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.1,0.6506666666666666,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.25,0.6566666666666665,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.5,0.6833333333333331,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.75,0.7677333333333333,0.7333333333333333,0.4666666666666666,0.9999999999999999
leakage_curve,observed,0.6509333333333331,0.7333333333333333,0.06666666666666665,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.8438666666666665,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,0.05,0.8428,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,0.1,0.8465999999999999,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,0.25,0.8432,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,0.5,0.8426666666666667,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,0.75,0.8438666666666665,0.8666666666666666,0.3333333333333333,0.9999999999999999
random_matched_control,observed,0.8378666666666665,0.8666666666666666,0.3333333333333333,0.9999999999999999
