mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.0,ecfp_rf,0.405,2.0,1.0,3.0
conflict_curve,0.0,lgbm_advanced,0.562,1.0,1.0,3.0
conflict_curve,0.0,lgbm_basic,0.017,3.0,2.0,4.0
conflict_curve,0.0,torch_mlp_advanced,0.016,4.0,2.0,4.0
conflict_curve,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.05,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.05,ecfp_rf,0.58,1.0,1.0,3.0
conflict_curve,0.05,lgbm_advanced,0.366,2.0,1.0,3.0
conflict_curve,0.05,lgbm_basic,0.04,3.0,1.0,4.0
conflict_curve,0.05,torch_mlp_advanced,0.014,4.0,2.0,4.0
conflict_curve,0.05,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.1,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.1,ecfp_rf,0.661,1.0,1.0,3.0
conflict_curve,0.1,lgbm_advanced,0.263,2.0,1.0,3.0
conflict_curve,0.1,lgbm_basic,0.062,3.0,1.0,4.0
conflict_curve,0.1,torch_mlp_advanced,0.014,4.0,2.0,4.0
conflict_curve,0.1,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.25,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.25,ecfp_rf,0.903,1.0,1.0,3.0
conflict_curve,0.25,lgbm_advanced,0.035,3.0,1.0,4.0
conflict_curve,0.25,lgbm_basic,0.062,2.0,1.0,4.0
conflict_curve,0.25,torch_mlp_advanced,0.0,4.0,2.0,4.0
conflict_curve,0.25,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.5,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.5,ecfp_rf,0.968,1.0,1.0,2.0
conflict_curve,0.5,lgbm_advanced,0.0,3.0,2.9750000000000014,4.0
conflict_curve,0.5,lgbm_basic,0.032,2.0,1.0,3.0
conflict_curve,0.5,torch_mlp_advanced,0.0,4.0,3.0,4.0
conflict_curve,0.5,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.75,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,0.75,ecfp_rf,1.0,1.0,1.0,1.0
conflict_curve,0.75,lgbm_advanced,0.0,3.0,3.0,4.0
conflict_curve,0.75,lgbm_basic,0.0,2.0,2.0,2.0
conflict_curve,0.75,torch_mlp_advanced,0.0,4.0,3.0,5.0
conflict_curve,0.75,torch_mlp_basic,0.0,5.0,4.0,5.0
conflict_curve,observed,ecfp_linear,0.0,6.0,6.0,6.0
conflict_curve,observed,ecfp_rf,0.853,1.0,1.0,3.0
conflict_curve,observed,lgbm_advanced,0.059,3.0,1.0,4.0
