group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,125,26478.443136455066,211.82754509164053,0.800617784645517
audit_group,exact_leak,1,-0.4961843180056197,-0.4961843180056197,0.0
audit_group,label_conflict,2,-53.329631628143844,-26.664815814071922,0.0
audit_group,near_train_analogue,17,-455.6830165994577,-26.804883329379862,0.04126646908225918
audit_group,same_scaffold,75,-8830.407084230083,-117.73876112306776,0.15811574627222377
clean_vs_nonclean,audit_clean,125,26478.443136455066,211.82754509164053,0.800617784645517
clean_vs_nonclean,nonclean,95,-9339.915916775688,-98.3149043871125,0.19938221535448292
max_train_tanimoto_bin,"[0, 0.4)",76,16616.47494988111,218.63782828790934,0.6015819203454841
max_train_tanimoto_bin,"[0.4, 0.6)",30,9238.689344518774,307.95631148395915,0.14923375724123256
max_train_tanimoto_bin,"[0.6, 0.8)",81,3372.2489056317554,41.632702538663644,0.19726083401668124
max_train_tanimoto_bin,"[0.8, 0.9)",25,-12943.689520032725,-517.747580801309,0.04078319777268713
max_train_tanimoto_bin,"[0.9, 1.0]",8,854.8035396804613,106.85044246005766,0.011140290623915177
