metric,group,label,count,fraction,value
rows_total,,,1102,1.0,1102.0
rows_train,train,,772,0.7005444646098004,772.0
rows_valid,valid,,110,0.0998185117967332,110.0
rows_test,test,,220,0.1996370235934664,220.0
valid_molecules,,,1102,1.0,1102.0
test_label_conflicts,,,2,0.00909090909090909,2.0
exact_test_leaks,,,1,0.004545454545454545,1.0
near_train_analogues,,,18,0.08181818181818182,18.0
same_scaffold_test_molecules,,,87,0.39545454545454545,87.0
audit_clean_test_molecules,,,125,0.5681818181818182,125.0
audit_group_count,audit_clean,,125,0.5681818181818182,125.0
audit_group_count,same_scaffold,,75,0.3409090909090909,75.0
audit_group_count,near_train_analogue,,17,0.07727272727272727,17.0
audit_group_count,label_conflict,,2,0.00909090909090909,2.0
audit_group_count,exact_leak,,1,0.004545454545454545,1.0
label_distribution_by_audit_group,audit_clean,3.0,26,0.208,26.0
label_distribution_by_audit_group,audit_clean,4.0,4,0.032,4.0
label_distribution_by_audit_group,audit_clean,4.57,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,4.9,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,5.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,5.13,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,5.25,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,6.0,3,0.024,3.0
label_distribution_by_audit_group,audit_clean,6.31,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,6.92,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,7.0,3,0.024,3.0
label_distribution_by_audit_group,audit_clean,7.76,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,8.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,8.33,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,8.5,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,9.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,11.0,4,0.032,4.0
label_distribution_by_audit_group,audit_clean,11.22,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,11.48,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,14.0,2,0.016,2.0
label_distribution_by_audit_group,audit_clean,14.79,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,15.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,17.78,2,0.016,2.0
label_distribution_by_audit_group,audit_clean,19.5,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,19.95,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,20.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,20.42,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,21.38,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,23.0,2,0.016,2.0
label_distribution_by_audit_group,audit_clean,24.55,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,25.12,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,26.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,26.33,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,27.54,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,28.0,2,0.016,2.0
label_distribution_by_audit_group,audit_clean,29.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,30.5,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,32.36,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,33.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,34.67,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,35.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,37.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,38.02,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,41.0,3,0.024,3.0
label_distribution_by_audit_group,audit_clean,42.66,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,46.77,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,49.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,50.12,2,0.016,2.0
label_distribution_by_audit_group,audit_clean,50.5,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,53.7,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,54.95,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,59.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,61.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,63.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,66.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,66.07,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,67.61,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,68.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,71.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,71.25,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,77.62,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,82.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,93.33,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,96.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,101.0,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,117.49,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,123.03,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,138.04,1,0.008,1.0
label_distribution_by_audit_group,audit_clean,150.0,15,0.12,15.0
label_distribution_by_audit_group,exact_leak,3.0,1,1.0,1.0
