mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.093,6.0,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.14,3.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.227,2.0,1.0,6.0
conflict_curve,0.0,lgbm_basic,0.31,2.0,1.0,6.0
conflict_curve,0.0,torch_mlp_advanced,0.146,4.0,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.084,4.0,1.0,6.0
conflict_curve,0.05,ecfp_linear,0.094,6.0,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.145,3.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.2,2.0,1.0,6.0
conflict_curve,0.05,lgbm_basic,0.338,2.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.133,4.0,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.09,4.0,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.093,6.0,1.0,6.0
conflict_curve,0.1,ecfp_rf,0.169,3.0,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.213,2.0,1.0,6.0
conflict_curve,0.1,lgbm_basic,0.306,2.0,1.0,6.0
conflict_curve,0.1,torch_mlp_advanced,0.151,4.0,1.0,6.0
conflict_curve,0.1,torch_mlp_basic,0.068,4.0,1.0,6.0
conflict_curve,0.25,ecfp_linear,0.19,5.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.18,3.0,1.0,6.0
conflict_curve,0.25,lgbm_advanced,0.165,2.0,1.0,6.0
conflict_curve,0.25,lgbm_basic,0.352,2.0,1.0,6.0
conflict_curve,0.25,torch_mlp_advanced,0.105,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.008,5.0,2.0,6.0
conflict_curve,0.5,ecfp_linear,0.234,4.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.123,3.0,1.0,6.0
conflict_curve,0.5,lgbm_advanced,0.077,2.0,1.0,6.0
conflict_curve,0.5,lgbm_basic,0.448,2.0,1.0,6.0
conflict_curve,0.5,torch_mlp_advanced,0.118,4.0,1.0,6.0
conflict_curve,0.5,torch_mlp_basic,0.0,5.0,3.0,6.0
conflict_curve,0.75,ecfp_linear,0.249,4.0,1.0,6.0
conflict_curve,0.75,ecfp_rf,0.122,3.0,1.0,6.0
conflict_curve,0.75,lgbm_advanced,0.068,2.0,1.0,6.0
conflict_curve,0.75,lgbm_basic,0.424,2.0,1.0,6.0
conflict_curve,0.75,torch_mlp_advanced,0.137,4.0,1.0,6.0
conflict_curve,0.75,torch_mlp_basic,0.0,5.0,3.0,6.0
conflict_curve,observed,ecfp_linear,0.096,6.0,1.0,6.0
conflict_curve,observed,ecfp_rf,0.141,3.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.193,2.0,1.0,6.0
conflict_curve,observed,lgbm_basic,0.34,3.0,1.0,6.0
conflict_curve,observed,torch_mlp_advanced,0.153,4.0,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.077,4.0,1.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_rf,0.167,3.0,1.0,5.0
leakage_curve,0.0,lgbm_advanced,0.466,2.0,1.0,5.0
leakage_curve,0.0,lgbm_basic,0.3,2.0,1.0,5.0
leakage_curve,0.0,torch_mlp_advanced,0.055,4.0,1.0,5.0
leakage_curve,0.0,torch_mlp_basic,0.012,5.0,2.0,5.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.05,ecfp_rf,0.185,3.0,1.0,5.0
leakage_curve,0.05,lgbm_advanced,0.441,2.0,1.0,5.0
leakage_curve,0.05,lgbm_basic,0.299,2.0,1.0,5.0
leakage_curve,0.05,torch_mlp_advanced,0.062,4.0,1.0,5.0
leakage_curve,0.05,torch_mlp_basic,0.013,5.0,2.0,5.0
leakage_curve,0.1,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.1,ecfp_rf,0.194,3.0,1.0,5.0
leakage_curve,0.1,lgbm_advanced,0.438,2.0,1.0,5.0
leakage_curve,0.1,lgbm_basic,0.293,2.0,1.0,5.0
leakage_curve,0.1,torch_mlp_advanced,0.06,4.0,1.0,5.0
leakage_curve,0.1,torch_mlp_basic,0.015,5.0,2.0,5.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.25,ecfp_rf,0.208,3.0,1.0,5.0
leakage_curve,0.25,lgbm_advanced,0.426,2.0,1.0,5.0
leakage_curve,0.25,lgbm_basic,0.276,2.0,1.0,5.0
leakage_curve,0.25,torch_mlp_advanced,0.08,4.0,1.0,5.0
leakage_curve,0.25,torch_mlp_basic,0.01,5.0,2.0,5.0
leakage_curve,0.5,ecfp_linear,0.001,6.0,4.0,6.0
leakage_curve,0.5,ecfp_rf,0.23,3.0,1.0,5.0
leakage_curve,0.5,lgbm_advanced,0.38,2.0,1.0,5.0
leakage_curve,0.5,lgbm_basic,0.193,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.179,4.0,1.0,5.0
leakage_curve,0.5,torch_mlp_basic,0.017,5.0,2.0,5.024999999999977
leakage_curve,0.75,ecfp_linear,0.0,6.0,4.0,6.0
leakage_curve,0.75,ecfp_rf,0.202,3.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.416,2.0,1.0,5.0
leakage_curve,0.75,lgbm_basic,0.112,3.0,1.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.246,3.0,1.0,5.0
leakage_curve,0.75,torch_mlp_basic,0.024,5.0,2.0,6.0
leakage_curve,observed,ecfp_linear,0.0,6.0,5.975000000000001,6.0
leakage_curve,observed,ecfp_rf,0.165,3.0,1.0,5.0
leakage_curve,observed,lgbm_advanced,0.456,2.0,1.0,5.0
leakage_curve,observed,lgbm_basic,0.316,2.0,1.0,5.0
leakage_curve,observed,torch_mlp_advanced,0.046,4.0,1.0,5.0
leakage_curve,observed,torch_mlp_basic,0.017,5.0,2.0,5.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,2.0,2.0,2.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,3.0,3.0,3.0
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
random_matched_control,0.0,ecfp_linear,0.054,6.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.2155,3.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.2645,2.0,1.0,6.0
random_matched_control,0.0,lgbm_basic,0.2425,3.0,1.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.134,4.0,1.0,6.0
random_matched_control,0.0,torch_mlp_basic,0.0895,5.0,1.0,6.0
random_matched_control,0.05,ecfp_linear,0.046,6.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.2125,3.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.2565,2.0,1.0,6.0
random_matched_control,0.05,lgbm_basic,0.247,3.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.1375,4.0,1.0,6.0
random_matched_control,0.05,torch_mlp_basic,0.1005,5.0,1.0,6.0
random_matched_control,0.1,ecfp_linear,0.05,6.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.21,3.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.2675,2.0,1.0,6.0
random_matched_control,0.1,lgbm_basic,0.2445,3.0,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.145,4.0,1.0,6.0
random_matched_control,0.1,torch_mlp_basic,0.083,5.0,1.0,6.0
random_matched_control,0.25,ecfp_linear,0.055,6.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.2145,3.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.265,2.0,1.0,6.0
random_matched_control,0.25,lgbm_basic,0.2395,3.0,1.0,6.0
random_matched_control,0.25,torch_mlp_advanced,0.1285,4.0,1.0,6.0
random_matched_control,0.25,torch_mlp_basic,0.0975,5.0,1.0,6.0
random_matched_control,0.5,ecfp_linear,0.048,6.0,1.0,6.0
random_matched_control,0.5,ecfp_rf,0.234,3.0,1.0,6.0
random_matched_control,0.5,lgbm_advanced,0.2695,2.0,1.0,6.0
random_matched_control,0.5,lgbm_basic,0.2295,3.0,1.0,6.0
random_matched_control,0.5,torch_mlp_advanced,0.12,4.0,1.0,6.0
random_matched_control,0.5,torch_mlp_basic,0.099,5.0,1.0,6.0
random_matched_control,0.75,ecfp_linear,0.0505,6.0,1.0,6.0
random_matched_control,0.75,ecfp_rf,0.2175,3.0,1.0,6.0
random_matched_control,0.75,lgbm_advanced,0.253,2.0,1.0,6.0
random_matched_control,0.75,lgbm_basic,0.245,3.0,1.0,6.0
random_matched_control,0.75,torch_mlp_advanced,0.126,4.0,1.0,6.0
random_matched_control,0.75,torch_mlp_basic,0.108,5.0,1.0,6.0
random_matched_control,observed,ecfp_linear,0.043,6.0,1.0,6.0
random_matched_control,observed,ecfp_rf,0.2075,3.0,1.0,6.0
random_matched_control,observed,lgbm_advanced,0.2755,2.0,1.0,6.0
random_matched_control,observed,lgbm_basic,0.251,3.0,1.0,6.0
random_matched_control,observed,torch_mlp_advanced,0.1255,4.0,1.0,6.0
random_matched_control,observed,torch_mlp_basic,0.0975,5.0,1.0,6.0
