mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,2.3013533089872733,2.3013533089872737,2.3013533089872737,2.3013533089872737,1.0
conflict_curve,0.0,2.990866666820929,3.4607178433382444,-27.479219156413617,22.112390601773665,0.669
conflict_curve,0.05,2.454852355858841,2.737916109814793,-27.42379559891893,23.113393500198118,0.647
conflict_curve,0.1,2.5452430892036357,3.233448721537468,-26.058564404627173,23.12542333041383,0.642
conflict_curve,0.25,1.6136052730764499,2.7346125418705824,-27.68130147988933,18.96901437225887,0.621
conflict_curve,0.5,0.44919990273986704,2.406785402222809,-28.88013189668913,16.00413982481821,0.598
conflict_curve,0.75,0.12521519330843472,2.406785402222809,-28.88013189668913,16.00413982481821,0.594
conflict_curve,observed,2.6062405588084494,3.3016820184831452,-27.392127099626116,22.784284655485113,0.658
leakage_curve,0.0,2.1356815695336704,2.2536671228074567,-5.543635835282517,9.858920536760616,0.725
leakage_curve,0.05,1.8456374335242578,1.8988970620427281,-5.670211952843022,9.051036672659984,0.7
leakage_curve,0.1,1.7372453821928042,1.9733359194299496,-5.613721875161295,8.532962447534375,0.684
leakage_curve,0.25,1.5006086881062561,1.6156376075827943,-6.204800956411135,8.410033491516948,0.671
leakage_curve,0.5,0.8138837453277953,0.8762867254425508,-5.84323916442392,7.103618598777948,0.628
leakage_curve,0.75,0.4069072185433964,0.7225089268838403,-5.687061893342674,4.900423758733597,0.624
leakage_curve,observed,2.0030394293273264,2.2970606027909035,-5.569767596280011,8.88843245119539,0.727
observed_composition,observed,0.9777911988888591,0.977791198888859,0.977791198888859,0.977791198888859,1.0
random_matched_control,0.0,0.9007849487535078,1.2740901300301282,-19.228981617193494,16.708996037311998,0.5885
random_matched_control,0.05,1.2877515359266563,1.5075240892071555,-17.47797150549135,17.441587653600777,0.5995
random_matched_control,0.1,1.3140884914011544,1.4661781657432194,-16.42653604765305,17.112577808122474,0.604
random_matched_control,0.25,0.9085798202845715,1.2784028372209413,-22.0787117244,16.994038245630758,0.6005
random_matched_control,0.5,0.7785741239116053,1.1250427064754227,-20.734239718241486,16.399027691673886,0.579
random_matched_control,0.75,0.8081723989999311,1.1261160452244177,-20.699800630554524,16.703025777995837,0.5795
random_matched_control,observed,0.9054038045668534,1.2745889074571544,-20.97541402102619,16.682756012031952,0.6035
