metric,group,label,count,fraction,value
rows_total,,,578,1.0,578.0
rows_train,train,,404,0.698961937716263,404.0
rows_valid,valid,,58,0.10034602076124567,58.0
rows_test,test,,116,0.20069204152249134,116.0
valid_molecules,,,578,1.0,578.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,0,0.0,0.0
near_train_analogues,,,1,0.008620689655172414,1.0
same_scaffold_test_molecules,,,43,0.3706896551724138,43.0
audit_clean_test_molecules,,,73,0.6293103448275862,73.0
audit_group_count,audit_clean,,73,0.6293103448275862,73.0
audit_group_count,same_scaffold,,42,0.3620689655172414,42.0
audit_group_count,near_train_analogue,,1,0.008620689655172414,1.0
label_distribution_by_audit_group,audit_clean,0.0,12,0.1643835616438356,12.0
label_distribution_by_audit_group,audit_clean,1.0,61,0.8356164383561644,61.0
label_distribution_by_audit_group,near_train_analogue,0.0,1,1.0,1.0
label_distribution_by_audit_group,same_scaffold,0.0,6,0.14285714285714285,6.0
label_distribution_by_audit_group,same_scaffold,1.0,36,0.8571428571428571,36.0
