mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,1.0,1.0,1.0,1.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_basic,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.0,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.0,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.0,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.0,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.0,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,0.05,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.05,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.05,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.05,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.05,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.05,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,0.1,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.1,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.1,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.1,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.1,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.1,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,0.25,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.25,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.25,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.25,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.25,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.25,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,0.5,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.5,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.5,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.5,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.5,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.5,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,0.75,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,0.75,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,0.75,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.75,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,0.75,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,0.75,torch_mlp_basic,0.0,3.5,3.5,3.5
leakage_curve,observed,ecfp_linear,0.0,3.5,3.5,3.5
leakage_curve,observed,ecfp_rf,0.0,3.5,3.5,3.5
leakage_curve,observed,lgbm_advanced,0.0,3.5,3.5,3.5
leakage_curve,observed,lgbm_basic,0.0,3.5,3.5,3.5
leakage_curve,observed,torch_mlp_advanced,0.0,3.5,3.5,3.5
leakage_curve,observed,torch_mlp_basic,0.0,3.5,3.5,3.5
observed_composition,observed,ecfp_linear,0.0,4.0,4.0,4.0
observed_composition,observed,ecfp_rf,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_advanced,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
