group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,78,399143.26457788283,5117.221340742088,0.7390200179791766
audit_group,label_conflict,2,956.4641682622919,478.23208413114594,0.0015154237129677743
audit_group,near_train_analogue,4,121359.5351882262,30339.88379705655,0.1922864502671318
audit_group,same_scaffold,49,-49657.59710767782,-1013.4203491362821,0.06717810804072394
clean_vs_nonclean,audit_clean,78,399143.26457788283,5117.221340742088,0.7390200179791766
clean_vs_nonclean,nonclean,55,72658.40224881066,1321.0618590692848,0.26097998202082345
max_train_tanimoto_bin,"[0, 0.4)",48,392743.5802514157,8182.157921904494,0.7322986237142389
max_train_tanimoto_bin,"[0.4, 0.6)",51,-48575.1147517967,-952.4532304273862,0.006293235621926025
max_train_tanimoto_bin,"[0.6, 0.8)",25,-3360.5259196261513,-134.42103678504606,0.05383499169152616
max_train_tanimoto_bin,"[0.8, 0.9)",5,127311.51895329614,25462.30379065923,0.20173488732793096
max_train_tanimoto_bin,"[0.9, 1.0]",4,3682.208293404436,920.552073351109,0.005838261644377755
