metric,group,label,count,fraction,value
rows_total,,,667,1.0,667.0
rows_train,train,,467,0.7001499250374813,467.0
rows_valid,valid,,67,0.10044977511244378,67.0
rows_test,test,,133,0.19940029985007496,133.0
valid_molecules,,,667,1.0,667.0
test_label_conflicts,,,2,0.015037593984962405,2.0
exact_test_leaks,,,2,0.015037593984962405,2.0
near_train_analogues,,,6,0.045112781954887216,6.0
same_scaffold_test_molecules,,,55,0.41353383458646614,55.0
audit_clean_test_molecules,,,78,0.5864661654135338,78.0
audit_group_count,audit_clean,,78,0.5864661654135338,78.0
audit_group_count,same_scaffold,,49,0.3684210526315789,49.0
audit_group_count,near_train_analogue,,4,0.03007518796992481,4.0
audit_group_count,label_conflict,,2,0.015037593984962405,2.0
label_distribution_by_audit_group,audit_clean,0.065,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,0.68,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,0.7,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,0.78,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,0.96,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,1.0,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,1.1,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,1.2,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,1.4,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,1.6,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,1.8,4,0.05128205128205128,4.0
label_distribution_by_audit_group,audit_clean,1.9,4,0.05128205128205128,4.0
label_distribution_by_audit_group,audit_clean,2.0,3,0.038461538461538464,3.0
label_distribution_by_audit_group,audit_clean,2.1,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,2.2,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,2.3,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,2.5,3,0.038461538461538464,3.0
label_distribution_by_audit_group,audit_clean,3.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,3.1,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,3.2,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,3.4,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,3.6,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,3.8,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,3.9,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,4.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,4.2,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,4.7,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.1,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.2,3,0.038461538461538464,3.0
label_distribution_by_audit_group,audit_clean,5.3,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.4,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.8,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,5.9,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,6.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,6.2,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,6.7,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,7.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,7.5,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,7.9,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,8.1,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,9.4,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,9.8,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,10.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,12.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,13.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,14.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,16.0,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,19.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,22.0,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,23.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,27.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,32.0,2,0.02564102564102564,2.0
label_distribution_by_audit_group,audit_clean,48.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,67.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,69.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,82.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,170.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,730.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,audit_clean,820.0,1,0.01282051282051282,1.0
label_distribution_by_audit_group,label_conflict,1.2,1,0.5,1.0
label_distribution_by_audit_group,label_conflict,18.0,1,0.5,1.0
label_distribution_by_audit_group,near_train_analogue,0.88,1,0.25,1.0
label_distribution_by_audit_group,near_train_analogue,2.1,1,0.25,1.0
label_distribution_by_audit_group,near_train_analogue,3.7,1,0.25,1.0
label_distribution_by_audit_group,near_train_analogue,850.0,1,0.25,1.0
label_distribution_by_audit_group,same_scaffold,0.26,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,0.58,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,0.8,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,1.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,1.1,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,1.2,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,1.3,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,1.4,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,1.5,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,1.6,3,0.061224489795918366,3.0
label_distribution_by_audit_group,same_scaffold,1.8,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,2.1,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,2.4,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,2.5,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,2.6,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,3.2,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,3.8,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,4.4,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,4.7,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,4.9,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,5.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,5.3,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,5.9,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,7.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,9.4,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,10.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,11.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,12.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,14.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,16.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,18.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,20.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,24.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,26.0,2,0.04081632653061224,2.0
label_distribution_by_audit_group,same_scaffold,31.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,34.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,38.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,46.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,48.0,1,0.02040816326530612,1.0
label_distribution_by_audit_group,same_scaffold,180.0,1,0.02040816326530612,1.0
