mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,3.0,3.0,3.0
clean_reference,0.0,ecfp_rf,0.0,6.0,6.0,6.0
clean_reference,0.0,lgbm_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,lgbm_basic,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_basic,1.0,1.0,1.0,1.0
conflict_curve,0.0,ecfp_linear,0.033,5.0,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.27,3.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.174,3.0,1.0,6.0
conflict_curve,0.0,lgbm_basic,0.152,4.0,1.0,6.0
conflict_curve,0.0,torch_mlp_advanced,0.202,3.0,1.0,5.0
conflict_curve,0.0,torch_mlp_basic,0.169,4.0,1.0,6.0
conflict_curve,0.05,ecfp_linear,0.04,5.0,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.289,2.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.186,3.0,1.0,6.0
conflict_curve,0.05,lgbm_basic,0.109,4.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.202,2.0,1.0,5.0
conflict_curve,0.05,torch_mlp_basic,0.174,4.0,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.018,5.0,2.0,6.0
conflict_curve,0.1,ecfp_rf,0.264,3.0,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.194,3.0,1.0,6.0
conflict_curve,0.1,lgbm_basic,0.134,4.0,1.0,6.0
conflict_curve,0.1,torch_mlp_advanced,0.204,2.0,1.0,5.0
conflict_curve,0.1,torch_mlp_basic,0.186,4.0,1.0,6.0
conflict_curve,0.25,ecfp_linear,0.007,5.0,3.0,6.0
conflict_curve,0.25,ecfp_rf,0.092,3.0,1.0,5.0
conflict_curve,0.25,lgbm_advanced,0.131,3.0,1.0,6.0
conflict_curve,0.25,lgbm_basic,0.117,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_advanced,0.64,1.0,1.0,5.0
conflict_curve,0.25,torch_mlp_basic,0.013,4.0,2.0,6.0
conflict_curve,0.5,ecfp_linear,0.065,4.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.0,5.0,2.0,6.0
conflict_curve,0.5,lgbm_advanced,0.09,3.0,1.0,5.0
conflict_curve,0.5,lgbm_basic,0.0,6.0,4.0,6.0
conflict_curve,0.5,torch_mlp_advanced,0.845,1.0,1.0,3.0
conflict_curve,0.5,torch_mlp_basic,0.0,2.0,2.0,6.0
conflict_curve,0.75,ecfp_linear,0.054,4.0,1.0,6.0
conflict_curve,0.75,ecfp_rf,0.0,5.0,2.0,6.0
conflict_curve,0.75,lgbm_advanced,0.14,3.0,1.0,5.0
conflict_curve,0.75,lgbm_basic,0.0,5.5,4.0,6.0
conflict_curve,0.75,torch_mlp_advanced,0.806,1.0,1.0,3.0
conflict_curve,0.75,torch_mlp_basic,0.0,3.0,2.0,6.0
conflict_curve,observed,ecfp_linear,0.033,5.0,1.0,6.0
conflict_curve,observed,ecfp_rf,0.268,2.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.173,3.0,1.0,6.0
conflict_curve,observed,lgbm_basic,0.161,4.0,1.0,6.0
conflict_curve,observed,torch_mlp_advanced,0.198,2.0,1.0,5.0
conflict_curve,observed,torch_mlp_basic,0.167,4.0,1.0,6.0
leakage_curve,0.0,ecfp_linear,0.005,6.0,2.0,6.0
leakage_curve,0.0,ecfp_rf,0.259,2.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.108,4.0,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.087,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.376,2.0,1.0,5.0
leakage_curve,0.0,torch_mlp_basic,0.165,4.0,1.0,6.0
leakage_curve,0.05,ecfp_linear,0.009,6.0,2.0,6.0
leakage_curve,0.05,ecfp_rf,0.267,2.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.132,3.0,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.081,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.371,2.0,1.0,5.0
leakage_curve,0.05,torch_mlp_basic,0.14,4.0,1.0,6.0
leakage_curve,0.1,ecfp_linear,0.003,6.0,2.0,6.0
leakage_curve,0.1,ecfp_rf,0.006,4.0,2.0,6.0
leakage_curve,0.1,lgbm_advanced,0.169,3.0,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.145,3.0,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.525,1.0,1.0,5.0
leakage_curve,0.1,torch_mlp_basic,0.152,3.0,1.0,6.0
leakage_curve,0.25,ecfp_linear,0.0,5.0,2.0,6.0
leakage_curve,0.25,ecfp_rf,0.0,5.0,3.0,6.0
leakage_curve,0.25,lgbm_advanced,0.224,2.0,1.0,5.0
leakage_curve,0.25,lgbm_basic,0.156,3.0,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.47,2.0,1.0,5.0
leakage_curve,0.25,torch_mlp_basic,0.15,3.0,1.0,6.0
leakage_curve,0.5,ecfp_linear,0.639,1.0,1.0,3.0
leakage_curve,0.5,ecfp_rf,0.0,5.0,4.0,6.0
leakage_curve,0.5,lgbm_advanced,0.0,4.0,4.0,5.0
leakage_curve,0.5,lgbm_basic,0.0,6.0,4.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.003,3.0,2.0,3.0
leakage_curve,0.5,torch_mlp_basic,0.358,2.0,1.0,2.0
leakage_curve,0.75,ecfp_linear,0.723,1.0,1.0,2.0
leakage_curve,0.75,ecfp_rf,0.0,5.0,5.0,5.0
leakage_curve,0.75,lgbm_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.75,lgbm_basic,0.0,6.0,6.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.0,3.0,3.0,3.0
leakage_curve,0.75,torch_mlp_basic,0.277,2.0,1.0,2.0
leakage_curve,observed,ecfp_linear,0.008,6.0,2.0,6.0
leakage_curve,observed,ecfp_rf,0.249,2.0,1.0,6.0
leakage_curve,observed,lgbm_advanced,0.099,4.0,1.0,6.0
leakage_curve,observed,lgbm_basic,0.094,4.0,1.0,6.0
leakage_curve,observed,torch_mlp_advanced,0.403,2.0,1.0,5.0
leakage_curve,observed,torch_mlp_basic,0.147,4.0,1.0,6.0
observed_composition,observed,ecfp_linear,0.0,3.0,3.0,3.0
observed_composition,observed,ecfp_rf,0.0,6.0,6.0,6.0
observed_composition,observed,lgbm_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,lgbm_basic,0.0,5.0,5.0,5.0
observed_composition,observed,torch_mlp_advanced,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_basic,1.0,1.0,1.0,1.0
random_matched_control,0.0,ecfp_linear,0.062,5.0,1.0,6.0
random_matched_control,0.0,ecfp_rf,0.2595,3.0,1.0,6.0
random_matched_control,0.0,lgbm_advanced,0.1745,3.0,1.0,6.0
random_matched_control,0.0,lgbm_basic,0.1285,4.0,1.0,6.0
random_matched_control,0.0,torch_mlp_advanced,0.244,3.0,1.0,5.0
random_matched_control,0.0,torch_mlp_basic,0.1315,4.0,1.0,6.0
random_matched_control,0.05,ecfp_linear,0.053,5.0,1.0,6.0
random_matched_control,0.05,ecfp_rf,0.263,3.0,1.0,6.0
random_matched_control,0.05,lgbm_advanced,0.1745,3.0,1.0,6.0
random_matched_control,0.05,lgbm_basic,0.1465,4.0,1.0,6.0
random_matched_control,0.05,torch_mlp_advanced,0.236,3.0,1.0,5.0
random_matched_control,0.05,torch_mlp_basic,0.127,5.0,1.0,6.0
random_matched_control,0.1,ecfp_linear,0.0515,5.0,1.0,6.0
random_matched_control,0.1,ecfp_rf,0.258,3.0,1.0,6.0
random_matched_control,0.1,lgbm_advanced,0.159,3.0,1.0,6.0
random_matched_control,0.1,lgbm_basic,0.1345,4.0,1.0,6.0
random_matched_control,0.1,torch_mlp_advanced,0.2495,3.0,1.0,5.0
random_matched_control,0.1,torch_mlp_basic,0.1475,4.0,1.0,6.0
random_matched_control,0.25,ecfp_linear,0.0505,5.0,1.0,6.0
random_matched_control,0.25,ecfp_rf,0.2565,3.0,1.0,6.0
random_matched_control,0.25,lgbm_advanced,0.1805,3.0,1.0,6.0
random_matched_control,0.25,lgbm_basic,0.133,4.0,1.0,6.0
