mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,23.863299968393047,23.863299968393036,23.863299968393036,23.863299968393036,1.0
conflict_curve,0.0,1.5179012245249683,-8.343916887657853,-51.64059810160543,185.71300457574316,0.299
conflict_curve,0.05,1.06991896417979,-9.599396186994655,-52.3787015880874,185.6914080126037,0.299
conflict_curve,0.1,3.4870994555964256,-6.570966692559253,-49.51921220921795,185.59258087934526,0.329
conflict_curve,0.25,-6.898845746653926,-2.1263970289248215,-50.312026417462036,12.297716391397678,0.427
conflict_curve,0.5,6.582611430438594,12.2570134217756,-42.99900663006618,15.857432981768103,0.781
conflict_curve,0.75,4.997991493409155,10.108895143022053,-42.99900663006618,15.857432981768103,0.74
conflict_curve,observed,2.0353771973366,-8.694788832719043,-48.36843680424425,185.56501506506504,0.294
leakage_curve,0.0,0.48571376760796214,-7.282466000623007,-39.894819740275885,130.76177032668454,0.293
leakage_curve,0.05,-2.246839562958402,-8.527916694921242,-41.0202583141119,130.0682790687659,0.284
leakage_curve,0.1,10.254182940166258,4.851626440924434,-26.387885169880153,131.4731206369645,0.645
leakage_curve,0.25,19.07240844900746,15.02946462126028,-18.275388047633502,133.0681431961953,0.843
leakage_curve,0.5,68.9705631555314,65.39980754797713,53.60960598309628,144.96578703592795,1.0
leakage_curve,0.75,65.63999042535431,66.30894317030229,57.878656630909845,66.97794119067726,1.0
leakage_curve,observed,0.2792465127843405,-7.35356742146692,-38.9179268368416,130.8224601155838,0.278
observed_composition,observed,19.212141830009053,19.21214183000906,19.21214183000906,19.21214183000906,1.0
random_matched_control,0.0,-1.53651068654029,-6.667148650521169,-55.09764310161149,130.59844135935612,0.3585
random_matched_control,0.05,-3.2945006176219085,-8.094229779746684,-53.91274265087573,130.28540304811372,0.331
random_matched_control,0.1,-1.1376082978405995,-7.369710508913945,-53.68717284348209,131.18957912952428,0.34
random_matched_control,0.25,-1.1956830134672523,-7.019931524656117,-54.07383347002395,130.95083246942895,0.3675
random_matched_control,0.5,-1.4682995673103365,-7.8531953939322054,-53.33855467394865,176.6843099553971,0.3345
random_matched_control,0.75,-0.4105181367924523,-6.314438452213939,-53.34481909614458,133.17993660698693,0.359
random_matched_control,observed,-1.3340199002582847,-7.132707083558147,-53.13105155705996,131.41710897051394,0.345
