mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,3.0,3.0,3.0
clean_reference,0.0,ecfp_rf,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_linear,0.041,3.0,1.0,6.0
leakage_curve,0.0,ecfp_rf,0.251,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.509,1.0,1.0,5.0
leakage_curve,0.0,lgbm_basic,0.114,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.079,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.006,5.0,2.0,6.0
leakage_curve,0.05,ecfp_linear,0.04,3.0,1.0,6.0
leakage_curve,0.05,ecfp_rf,0.263,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.54,1.0,1.0,5.0
leakage_curve,0.05,lgbm_basic,0.092,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.06,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.005,5.0,2.0,6.0
leakage_curve,0.1,ecfp_linear,0.035,3.0,1.0,6.0
leakage_curve,0.1,ecfp_rf,0.287,2.0,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.525,1.0,1.0,5.0
leakage_curve,0.1,lgbm_basic,0.089,5.0,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.06,4.0,1.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.004,5.0,2.0,6.0
leakage_curve,0.25,ecfp_linear,0.062,3.0,1.0,6.0
leakage_curve,0.25,ecfp_rf,0.268,2.0,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.5,1.5,1.0,5.0
leakage_curve,0.25,lgbm_basic,0.09,4.0,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.069,4.0,1.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.011,5.0,2.0,6.0
leakage_curve,0.5,ecfp_linear,0.1,3.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.332,2.0,1.0,6.0
leakage_curve,0.5,lgbm_advanced,0.39,2.0,1.0,5.0
leakage_curve,0.5,lgbm_basic,0.033,6.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.116,4.0,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.029,5.0,1.0,6.0
leakage_curve,0.75,ecfp_linear,0.145,3.0,1.0,6.0
leakage_curve,0.75,ecfp_rf,0.415,2.0,1.0,6.0
