mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.6158891540261637,0.615889154026164,0.615889154026164,0.615889154026164,1.0
leakage_curve,0.0,0.38122219065496993,0.13701423755235864,-0.4994803769438977,1.85318844923203,0.687
leakage_curve,0.05,0.37588270708882676,0.14045542963145674,-0.4906262084949799,1.834929300474033,0.691
leakage_curve,0.1,0.3561940214431917,0.11393289951438623,-0.5452778640063463,1.8338452643447707,0.656
leakage_curve,0.25,0.34366058411637496,0.10549817749492829,-0.5538211718701099,1.8403282582866194,0.647
leakage_curve,0.5,0.1308087490865175,0.012399138946807886,-0.7114120676230459,1.809454335209719,0.517
leakage_curve,0.75,-0.10342500794499682,-0.18966711051694568,-0.8455698509458346,1.798134469652263,0.233
leakage_curve,observed,0.32316621333706963,0.10394539375718548,-0.5850264287676743,1.8268732384104176,0.63
observed_composition,observed,0.43978995083388833,0.4397899508338885,0.4397899508338885,0.4397899508338885,1.0
random_matched_control,0.0,0.2445032953908409,0.11327063764597745,-0.5541469767965476,1.851941201484065,0.658
random_matched_control,0.05,0.2712422032815641,0.12696584444713943,-0.5549513290455614,1.8547050643178928,0.669
random_matched_control,0.1,0.2553664262418967,0.13748310975313338,-0.5496134695870311,1.8602757092905073,0.674
random_matched_control,0.25,0.2621604821473397,0.12232241176906078,-0.46801295653388275,1.8416953164080294,0.682
random_matched_control,0.5,0.24821493316667226,0.1277200798484236,-0.491609394187357,1.8319272563978506,0.667
random_matched_control,0.75,0.26535556018714224,0.1337830985969234,-0.5264909682225385,1.8559645556498168,0.693
random_matched_control,observed,0.250638621246432,0.13304717117457243,-0.5541526686849763,1.8572156049842452,0.682
