group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,407,57.17014947261335,0.14046719772140873,0.6122587322928593
audit_group,exact_leak,4,0.14633581546266053,0.03658395386566513,0.001041934502906153
audit_group,label_conflict,1,1.5835757160371822,1.5835757160371822,0.008118571438065708
audit_group,near_train_analogue,97,3.2105567268801023,0.03309852295752683,0.03589951037805301
audit_group,same_scaffold,331,36.94024663588476,0.11160195358273342,0.34268125138811584
clean_vs_nonclean,audit_clean,407,57.17014947261335,0.14046719772140873,0.6122587322928593
clean_vs_nonclean,nonclean,433,41.8807148942647,0.09672220529853279,0.3877412677071406
max_train_tanimoto_bin,"[0, 0.4)",160,31.109032429670386,0.1944314526854399,0.32145471573386997
max_train_tanimoto_bin,"[0.4, 0.6)",157,32.28517533689639,0.20563805947067762,0.26213571136855657
max_train_tanimoto_bin,"[0.6, 0.8)",325,29.358984070201892,0.09033533560062121,0.32123916625118243
max_train_tanimoto_bin,"[0.8, 0.9)",150,6.133022383480085,0.040886815889867235,0.08424322690086915
max_train_tanimoto_bin,"[0.9, 1.0]",48,0.16465014662929167,0.003430211388110243,0.010927179745521886
