metric,group,label,count,fraction,value
rows_total,,,4200,1.0,4200.0
rows_train,train,,2940,0.7,2940.0
rows_valid,valid,,420,0.1,420.0
rows_test,test,,840,0.2,840.0
valid_molecules,,,4200,1.0,4200.0
test_label_conflicts,,,1,0.0011904761904761906,1.0
exact_test_leaks,,,4,0.004761904761904762,4.0
near_train_analogues,,,101,0.12023809523809524,101.0
same_scaffold_test_molecules,,,402,0.4785714285714286,402.0
audit_clean_test_molecules,,,407,0.4845238095238095,407.0
audit_group_count,audit_clean,,407,0.4845238095238095,407.0
audit_group_count,same_scaffold,,331,0.39404761904761904,331.0
audit_group_count,near_train_analogue,,97,0.11547619047619048,97.0
audit_group_count,exact_leak,,4,0.004761904761904762,4.0
audit_group_count,label_conflict,,1,0.0011904761904761906,1.0
label_distribution_by_audit_group,audit_clean,-1.2,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-1.1,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.9,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.86,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.65,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.56,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.5,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.49,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.44,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.41,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.4,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.34,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.25,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.2,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.16,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.14,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.13,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.12,2,0.004914004914004914,2.0
label_distribution_by_audit_group,audit_clean,-0.1,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.09,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,-0.04,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,0.0,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,0.01,2,0.004914004914004914,2.0
label_distribution_by_audit_group,audit_clean,0.05,1,0.002457002457002457,1.0
label_distribution_by_audit_group,audit_clean,0.08,1,0.002457002457002457,1.0
