mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,4.0,4.0,4.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.312,5.0,1.0,6.0
conflict_curve,0.0,ecfp_rf,0.162,4.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.13,3.0,1.0,6.0
conflict_curve,0.0,lgbm_basic,0.101,4.0,1.0,6.0
conflict_curve,0.0,torch_mlp_advanced,0.151,3.0,1.0,6.0
conflict_curve,0.0,torch_mlp_basic,0.144,3.0,1.0,6.0
conflict_curve,0.05,ecfp_linear,0.323,5.0,1.0,6.0
conflict_curve,0.05,ecfp_rf,0.13,5.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.153,3.0,1.0,6.0
conflict_curve,0.05,lgbm_basic,0.095,4.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.159,3.0,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.14,3.0,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.299,5.0,1.0,6.0
conflict_curve,0.1,ecfp_rf,0.153,4.0,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.115,3.0,1.0,6.0
conflict_curve,0.1,lgbm_basic,0.099,4.0,1.0,6.0
conflict_curve,0.1,torch_mlp_advanced,0.174,3.0,1.0,6.0
conflict_curve,0.1,torch_mlp_basic,0.16,3.0,1.0,6.0
conflict_curve,0.25,ecfp_linear,0.306,5.0,1.0,6.0
conflict_curve,0.25,ecfp_rf,0.156,4.0,1.0,6.0
conflict_curve,0.25,lgbm_advanced,0.139,3.0,1.0,6.0
conflict_curve,0.25,lgbm_basic,0.082,4.0,1.0,6.0
conflict_curve,0.25,torch_mlp_advanced,0.171,3.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.146,3.0,1.0,6.0
conflict_curve,0.5,ecfp_linear,0.323,5.0,1.0,6.0
conflict_curve,0.5,ecfp_rf,0.168,4.0,1.0,6.0
conflict_curve,0.5,lgbm_advanced,0.122,3.0,1.0,6.0
conflict_curve,0.5,lgbm_basic,0.102,4.0,1.0,6.0
conflict_curve,0.5,torch_mlp_advanced,0.155,3.0,1.0,6.0
conflict_curve,0.5,torch_mlp_basic,0.13,3.0,1.0,6.0
conflict_curve,0.75,ecfp_linear,1.0,1.0,1.0,1.0
conflict_curve,0.75,ecfp_rf,0.0,6.0,6.0,6.0
conflict_curve,0.75,lgbm_advanced,0.0,5.0,5.0,5.0
conflict_curve,0.75,lgbm_basic,0.0,2.0,2.0,2.0
conflict_curve,0.75,torch_mlp_advanced,0.0,4.0,4.0,4.0
conflict_curve,0.75,torch_mlp_basic,0.0,3.0,3.0,3.0
conflict_curve,observed,ecfp_linear,0.308,5.0,1.0,6.0
conflict_curve,observed,ecfp_rf,0.154,4.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.146,3.0,1.0,6.0
conflict_curve,observed,lgbm_basic,0.087,4.0,1.0,6.0
conflict_curve,observed,torch_mlp_advanced,0.156,3.0,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.149,3.0,1.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_rf,0.006,4.0,3.0,5.0
leakage_curve,0.0,lgbm_advanced,0.607,1.0,1.0,3.0
leakage_curve,0.0,lgbm_basic,0.292,2.0,1.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.094,3.0,1.0,4.0
leakage_curve,0.0,torch_mlp_basic,0.001,5.0,3.9750000000000014,5.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,6.0,6.0
leakage_curve,0.05,ecfp_rf,0.003,4.0,3.0,5.0
leakage_curve,0.05,lgbm_advanced,0.61,1.0,1.0,3.0
leakage_curve,0.05,lgbm_basic,0.271,2.0,1.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.116,3.0,1.0,4.0
leakage_curve,0.05,torch_mlp_basic,0.0,5.0,3.0,5.0
