group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,240,0.0,0.0,
audit_group,near_train_analogue,17,0.0,0.0,
audit_group,same_scaffold,150,0.0,0.0,
clean_vs_nonclean,audit_clean,240,0.0,0.0,
clean_vs_nonclean,nonclean,167,0.0,0.0,
max_train_tanimoto_bin,"[0, 0.4)",115,0.0,0.0,
max_train_tanimoto_bin,"[0.4, 0.6)",79,0.0,0.0,
max_train_tanimoto_bin,"[0.6, 0.8)",161,0.0,0.0,
max_train_tanimoto_bin,"[0.8, 0.9)",46,0.0,0.0,
max_train_tanimoto_bin,"[0.9, 1.0]",6,0.0,0.0,
