metric,group,label,count,fraction,value
rows_total,,,2034,1.0,2034.0
rows_train,train,,1424,0.7000983284169124,1424.0
rows_valid,valid,,203,0.09980334316617502,203.0
rows_test,test,,407,0.2000983284169125,407.0
valid_molecules,,,2034,1.0,2034.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,0,0.0,0.0
near_train_analogues,,,17,0.04176904176904177,17.0
same_scaffold_test_molecules,,,159,0.3906633906633907,159.0
audit_clean_test_molecules,,,240,0.5896805896805897,240.0
audit_group_count,audit_clean,,240,0.5896805896805897,240.0
audit_group_count,same_scaffold,,150,0.36855036855036855,150.0
audit_group_count,near_train_analogue,,17,0.04176904176904177,17.0
label_distribution_by_audit_group,audit_clean,0.0,42,0.175,42.0
label_distribution_by_audit_group,audit_clean,1.0,198,0.825,198.0
label_distribution_by_audit_group,near_train_analogue,0.0,1,0.058823529411764705,1.0
label_distribution_by_audit_group,near_train_analogue,1.0,16,0.9411764705882353,16.0
label_distribution_by_audit_group,same_scaffold,0.0,20,0.13333333333333333,20.0
label_distribution_by_audit_group,same_scaffold,1.0,130,0.8666666666666667,130.0
