mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,4.0,4.0,4.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,6.0,6.0,6.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
leakage_curve,0.0,ecfp_linear,0.059,4.0,1.0,6.0
leakage_curve,0.0,ecfp_rf,0.28,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.189,2.5,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.258,2.0,1.0,6.0
leakage_curve,0.0,torch_mlp_advanced,0.064,4.0,1.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.044,4.0,1.0,6.0
leakage_curve,0.05,ecfp_linear,0.071,4.0,1.0,6.0
leakage_curve,0.05,ecfp_rf,0.285,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.161,3.0,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.242,2.5,1.0,6.0
leakage_curve,0.05,torch_mlp_advanced,0.09,4.0,1.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.048,4.0,1.0,6.0
leakage_curve,0.1,ecfp_linear,0.061,4.0,1.0,6.0
leakage_curve,0.1,ecfp_rf,0.319,3.0,1.0,6.0
leakage_curve,0.1,lgbm_advanced,0.167,3.0,1.0,6.0
leakage_curve,0.1,lgbm_basic,0.213,2.5,1.0,6.0
leakage_curve,0.1,torch_mlp_advanced,0.091,4.0,1.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.051,4.0,1.0,6.0
leakage_curve,0.25,ecfp_linear,0.044,4.0,1.0,6.0
leakage_curve,0.25,ecfp_rf,0.361,2.0,1.0,6.0
leakage_curve,0.25,lgbm_advanced,0.146,3.0,1.0,6.0
leakage_curve,0.25,lgbm_basic,0.222,2.5,1.0,6.0
leakage_curve,0.25,torch_mlp_advanced,0.086,4.0,1.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.034,4.5,1.0,6.0
leakage_curve,0.5,ecfp_linear,0.053,4.0,1.0,6.0
leakage_curve,0.5,ecfp_rf,0.236,3.0,1.0,6.0
leakage_curve,0.5,lgbm_advanced,0.138,3.0,1.0,6.0
leakage_curve,0.5,lgbm_basic,0.197,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.123,3.5,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.054,4.0,1.0,6.0
leakage_curve,0.75,ecfp_linear,0.061,3.5,1.0,6.0
leakage_curve,0.75,ecfp_rf,0.108,5.0,1.0,6.0
leakage_curve,0.75,lgbm_advanced,0.08,3.0,1.0,6.0
leakage_curve,0.75,lgbm_basic,0.131,3.0,1.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.113,3.0,1.0,6.0
leakage_curve,0.75,torch_mlp_basic,0.027,3.0,1.0,6.0
leakage_curve,observed,ecfp_linear,0.061,4.0,1.0,6.0
