group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,173,6246.914065434054,36.10932985800031,0.8010005192189683
audit_group,exact_leak,1,0.6401780271839675,0.6401780271839675,2.4883236916179548e-05
audit_group,label_conflict,1,20.407954201234062,20.407954201234062,0.0007932417824423677
audit_group,near_train_analogue,35,163.86030166969172,4.681722904848335,0.021994339388019018
audit_group,same_scaffold,113,1885.8742547686504,16.6891526970677,0.17618701637365417
clean_vs_nonclean,audit_clean,173,6246.914065434054,36.10932985800031,0.8010005192189683
clean_vs_nonclean,nonclean,150,2070.78268866676,13.805217924445065,0.19899948078103175
max_train_tanimoto_bin,"[0, 0.4)",97,6255.139575684458,64.48597500705627,0.6434922582934998
max_train_tanimoto_bin,"[0.4, 0.6)",50,-446.6580075059878,-8.933160150119756,0.08470445943556046
max_train_tanimoto_bin,"[0.6, 0.8)",102,-139.21017330020783,-1.3648056205902728,0.12943200219166082
max_train_tanimoto_bin,"[0.8, 0.9)",56,2723.1772325557354,48.6281648670667,0.13641630327875992
max_train_tanimoto_bin,"[0.9, 1.0]",18,-74.7518733331842,-4.152881851843566,0.005954976800518914
