metric,group,label,count,fraction,value
rows_total,,,1614,1.0,1614.0
rows_train,train,,1130,0.7001239157372986,1130.0
rows_valid,valid,,161,0.09975216852540272,161.0
rows_test,test,,323,0.20012391573729862,323.0
valid_molecules,,,1614,1.0,1614.0
test_label_conflicts,,,1,0.0030959752321981426,1.0
exact_test_leaks,,,2,0.006191950464396285,2.0
near_train_analogues,,,37,0.11455108359133127,37.0
same_scaffold_test_molecules,,,138,0.42724458204334365,138.0
audit_clean_test_molecules,,,173,0.5356037151702786,173.0
audit_group_count,audit_clean,,173,0.5356037151702786,173.0
audit_group_count,same_scaffold,,113,0.3498452012383901,113.0
audit_group_count,near_train_analogue,,35,0.10835913312693499,35.0
audit_group_count,label_conflict,,1,0.0030959752321981426,1.0
audit_group_count,exact_leak,,1,0.0030959752321981426,1.0
label_distribution_by_audit_group,audit_clean,18.64,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,20.08,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,20.83,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,22.38,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,32.88,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,33.39,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,47.7,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,51.15,2,0.011560693641618497,2.0
label_distribution_by_audit_group,audit_clean,52.88,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,55.16,2,0.011560693641618497,2.0
label_distribution_by_audit_group,audit_clean,56.86,2,0.011560693641618497,2.0
label_distribution_by_audit_group,audit_clean,59.66,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,60.77,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,61.31,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,62.94,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,64.54,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,65.06,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,66.1,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,66.61,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,67.12,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,69.61,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,70.58,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,71.05,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,71.99,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,73.81,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,74.69,1,0.005780346820809248,1.0
label_distribution_by_audit_group,audit_clean,77.62,1,0.005780346820809248,1.0
