mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
conflict_curve,0.0,0.36106666666666665,0.4666666666666666,-0.7333333333333333,0.9999999999999999
conflict_curve,0.05,0.3678666666666666,0.4666666666666666,-0.7333333333333333,0.9999999999999999
conflict_curve,0.1,0.35213333333333324,0.4666666666666666,-0.7333333333333333,0.9999999999999999
conflict_curve,0.25,0.35906666666666665,0.4666666666666666,-0.7333333333333333,0.9999999999999999
conflict_curve,0.5,0.3553333333333333,0.4666666666666666,-0.7333333333333333,0.9999999999999999
conflict_curve,0.75,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665
conflict_curve,observed,0.36079999999999995,0.4666666666666666,-0.7333333333333333,0.9999999999999999
leakage_curve,0.0,0.8805333333333333,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.05,0.8759999999999999,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.1,0.8779999999999999,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.25,0.8641333333333332,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.5,0.8465333333333331,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.75,0.8013333333333332,0.8666666666666666,0.4666666666666666,0.9999999999999999
leakage_curve,observed,0.8738666666666666,0.8666666666666666,0.6,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.6486666666666665,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,0.05,0.6379333333333332,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,0.1,0.6365333333333333,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,0.25,0.6325999999999999,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,0.5,0.6386666666666665,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,0.75,0.6421333333333332,0.7333333333333333,-0.2,0.9999999999999999
random_matched_control,observed,0.6438666666666666,0.7333333333333333,-0.2,0.9999999999999999
