mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,1.0938957460820493,1.0938957460820493,1.0938957460820493,1.0938957460820493,1.0
conflict_curve,0.0,-0.010822447128073377,0.07600894724738794,-16.01217033537869,20.41450631418492,0.513
conflict_curve,0.05,-0.22856527436963506,-0.2327346287101122,-11.05020125819253,11.988953057896566,0.5
conflict_curve,0.1,-0.25724945868578014,-0.5414782046676123,-10.92297128185443,11.988953057896566,0.496
conflict_curve,0.25,-0.25250647310756136,-0.5414782046676123,-16.01217033537869,20.41450631418492,0.495
conflict_curve,0.5,0.121421841010436,0.39780825821914334,-16.01217033537869,20.41450631418492,0.528
conflict_curve,0.75,3.642726150524964,3.6427261505249646,3.6427261505249646,3.6427261505249646,1.0
conflict_curve,observed,0.2265075199828054,0.07600894724738794,-16.01217033537869,20.41450631418492,0.517
leakage_curve,0.0,1.1150992313967523,1.074261941347145,-1.6061010155625142,3.7609590397522625,0.794
leakage_curve,0.05,1.0014014005066836,1.0402537834773868,-1.7498999333604734,3.7896699635861,0.754
leakage_curve,0.1,1.1099210783603217,1.1265482211185347,-1.747369842326032,3.8363266394377527,0.782
leakage_curve,0.25,0.8821368842463257,0.9132766977267535,-2.0816208350762855,3.583665602999266,0.734
leakage_curve,0.5,0.8600244304812873,0.8225140498429626,-1.8261504788970555,3.4572039244261124,0.745
leakage_curve,0.75,0.5318870292228011,0.5181588479992985,-2.060301542569558,3.150841527832705,0.648
leakage_curve,observed,1.075876856375097,1.1320078140947114,-1.8416324019353365,3.6868735357194735,0.774
observed_composition,observed,0.9280147519678578,0.9280147519678579,0.9280147519678579,0.9280147519678579,1.0
random_matched_control,0.0,0.8849305903437453,0.8155558122499533,-7.499638980370463,9.249370355393907,0.664
random_matched_control,0.05,1.0463017070820386,0.7850059150227695,-6.8968541363269935,13.291873962483152,0.652
random_matched_control,0.1,0.7952334816093392,0.727696547562414,-7.499638980370463,9.249370355393907,0.6345
random_matched_control,0.25,0.8224087145414358,0.7712198097728447,-7.499638980370463,10.497619354498028,0.6445
random_matched_control,0.5,0.799073885921826,0.7034871813105541,-7.555667977063962,13.291873962483152,0.6465
random_matched_control,0.75,0.8869043938997755,0.7109400555550671,-7.5010397052878,13.291873962483152,0.647
random_matched_control,observed,1.0139699218897054,0.8452751140242434,-7.499638980370463,13.291873962483152,0.664
