metric,group,label,count,fraction,value
rows_total,,,1217,1.0,1217.0
rows_train,train,,851,0.6992604765817584,851.0
rows_valid,valid,,122,0.10024650780608052,122.0
rows_test,test,,244,0.20049301561216104,244.0
valid_molecules,,,1217,1.0,1217.0
test_label_conflicts,,,0,0.0,0.0
exact_test_leaks,,,3,0.012295081967213115,3.0
near_train_analogues,,,43,0.1762295081967213,43.0
same_scaffold_test_molecules,,,116,0.47540983606557374,116.0
audit_clean_test_molecules,,,122,0.5,122.0
audit_group_count,audit_clean,,122,0.5,122.0
audit_group_count,same_scaffold,,79,0.3237704918032787,79.0
audit_group_count,near_train_analogue,,40,0.16393442622950818,40.0
audit_group_count,exact_leak,,3,0.012295081967213115,3.0
label_distribution_by_audit_group,audit_clean,0.0,79,0.6475409836065574,79.0
label_distribution_by_audit_group,audit_clean,1.0,43,0.3524590163934426,43.0
label_distribution_by_audit_group,exact_leak,0.0,3,1.0,3.0
label_distribution_by_audit_group,near_train_analogue,0.0,4,0.1,4.0
label_distribution_by_audit_group,near_train_analogue,1.0,36,0.9,36.0
label_distribution_by_audit_group,same_scaffold,0.0,35,0.4430379746835443,35.0
label_distribution_by_audit_group,same_scaffold,1.0,44,0.5569620253164557,44.0
