mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.7333333333333332,0.7333333333333333,0.7333333333333333,0.7333333333333333
leakage_curve,0.0,0.657563764720866,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.05,0.6459734746451448,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.1,0.651165628422996,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.25,0.6675907476304996,0.7333333333333333,0.06666666666666665,0.9999999999999999
leakage_curve,0.5,0.6442661818152754,0.7333333333333333,-0.13956278407175896,0.9999999999999999
leakage_curve,0.75,0.5160962024662825,0.6,-0.6024640760767093,0.9999999999999999
leakage_curve,observed,0.6645365300462256,0.7333333333333333,0.06666666666666665,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.4460639195209449,0.6,-0.6,0.9999999999999999
random_matched_control,0.05,0.45514213617905774,0.6,-0.6,0.9999999999999999
random_matched_control,0.1,0.45133204128222415,0.6,-0.5520524474738833,0.9999999999999999
random_matched_control,0.25,0.46537550779320336,0.6,-0.6,0.9999999999999999
random_matched_control,0.5,0.43375284476075454,0.6,-0.6,0.9999999999999999
random_matched_control,0.75,0.46069405653656736,0.6,-0.6,0.9999999999999999
random_matched_control,observed,0.440134342921377,0.6,-0.6,0.9999999999999999
