mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,4.0,4.0,4.0
clean_reference,0.0,ecfp_rf,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,lgbm_basic,0.0,3.0,3.0,3.0
clean_reference,0.0,torch_mlp_advanced,0.0,5.0,5.0,5.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
leakage_curve,0.0,ecfp_linear,0.062,4.0,1.0,4.0
leakage_curve,0.0,ecfp_rf,0.65,1.0,1.0,3.0
leakage_curve,0.0,lgbm_advanced,0.254,2.0,1.0,4.0
leakage_curve,0.0,lgbm_basic,0.018,3.0,2.0,5.0
leakage_curve,0.0,torch_mlp_advanced,0.007,5.0,3.0,6.0
leakage_curve,0.0,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.05,ecfp_linear,0.063,4.0,1.0,4.0
leakage_curve,0.05,ecfp_rf,0.638,1.0,1.0,3.0
leakage_curve,0.05,lgbm_advanced,0.251,2.0,1.0,4.0
leakage_curve,0.05,lgbm_basic,0.035,3.0,1.0,5.0
leakage_curve,0.05,torch_mlp_advanced,0.003,5.0,3.0,6.0
leakage_curve,0.05,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.1,ecfp_linear,0.061,4.0,1.0,5.0
leakage_curve,0.1,ecfp_rf,0.65,1.0,1.0,3.0
leakage_curve,0.1,lgbm_advanced,0.222,2.0,1.0,4.0
leakage_curve,0.1,lgbm_basic,0.039,3.0,1.0,5.0
leakage_curve,0.1,torch_mlp_advanced,0.01,5.0,2.0,6.0
leakage_curve,0.1,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.25,ecfp_linear,0.054,4.0,1.0,5.0
leakage_curve,0.25,ecfp_rf,0.605,1.0,1.0,3.0
leakage_curve,0.25,lgbm_advanced,0.248,2.0,1.0,5.0
leakage_curve,0.25,lgbm_basic,0.063,3.0,1.0,5.0
leakage_curve,0.25,torch_mlp_advanced,0.012,5.0,2.0,6.0
leakage_curve,0.25,torch_mlp_basic,0.0,5.0,4.0,6.0
leakage_curve,0.5,ecfp_linear,0.073,4.0,1.0,5.512499999999989
leakage_curve,0.5,ecfp_rf,0.528,1.0,1.0,4.0
leakage_curve,0.5,lgbm_advanced,0.196,2.0,1.0,5.0
leakage_curve,0.5,lgbm_basic,0.139,3.0,1.0,6.0
leakage_curve,0.5,torch_mlp_advanced,0.029,6.0,1.0,6.0
leakage_curve,0.5,torch_mlp_basic,0.001,5.0,3.0,6.0
leakage_curve,0.75,ecfp_linear,0.055,4.0,1.0,6.0
leakage_curve,0.75,ecfp_rf,0.339,2.0,1.0,5.0
leakage_curve,0.75,lgbm_advanced,0.163,3.0,1.0,5.5
leakage_curve,0.75,lgbm_basic,0.191,2.0,1.0,6.0
leakage_curve,0.75,torch_mlp_advanced,0.056,6.0,1.0,6.0
leakage_curve,0.75,torch_mlp_basic,0.017,5.0,1.5,6.0
leakage_curve,observed,ecfp_linear,0.047,4.0,1.0,5.0
leakage_curve,observed,ecfp_rf,0.618,1.0,1.0,3.0
leakage_curve,observed,lgbm_advanced,0.246,2.0,1.0,4.0
leakage_curve,observed,lgbm_basic,0.052,3.0,1.0,5.012499999999989
leakage_curve,observed,torch_mlp_advanced,0.01,5.0,3.0,6.0
leakage_curve,observed,torch_mlp_basic,0.0,5.5,5.0,6.0
observed_composition,observed,ecfp_linear,0.0,4.0,4.0,4.0
observed_composition,observed,ecfp_rf,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_advanced,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,6.0,6.0,6.0
