group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,656,77.38612158951506,0.11796664876450466,0.36421204203070223
audit_group,exact_leak,56,-11.58399232277682,-0.2068570057638718,0.004371735327846513
audit_group,label_conflict,116,137.64335622325083,1.18658065709699,0.15751210839421956
audit_group,near_train_analogue,213,-1.7850452696322474,-0.008380494223625575,0.05841755251610135
audit_group,same_scaffold,955,212.3396728848083,0.22234520720922335,0.4154865617311305
clean_vs_nonclean,audit_clean,656,77.38612158951506,0.11796664876450466,0.36421204203070223
clean_vs_nonclean,nonclean,1340,336.6139915156501,0.2512044712803359,0.635787957969298
max_train_tanimoto_bin,"[0, 0.4)",233,45.60280656167946,0.19572019983553415,0.18865343935027568
max_train_tanimoto_bin,"[0.4, 0.6)",636,105.3789389665036,0.16569015560771005,0.3133252358366724
max_train_tanimoto_bin,"[0.6, 0.8)",671,132.23787671350968,0.19707582222579684,0.25954286825836037
max_train_tanimoto_bin,"[0.8, 0.9)",118,10.419498959615114,0.08830083864080605,0.034291612346730185
max_train_tanimoto_bin,"[0.9, 1.0]",338,120.36099190385735,0.3560976091830099,0.2041868442079615
