mode,target_rate,mean_kendall_tau,median_kendall_tau,ci_lower,ci_upper
clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
conflict_curve,0.0,0.8075999999999999,0.8666666666666666,0.6,0.9999999999999999
conflict_curve,0.05,0.8062666666666666,0.8666666666666666,0.6,0.9999999999999999
conflict_curve,0.1,0.7995999999999999,0.8666666666666666,0.4666666666666666,0.9999999999999999
conflict_curve,0.25,0.7290666666666666,0.7333333333333333,0.4666666666666666,0.9999999999999999
conflict_curve,0.5,0.5532,0.6,0.4666666666666666,0.7333333333333333
conflict_curve,0.75,0.41493333333333327,0.4666666666666666,0.2,0.4666666666666666
conflict_curve,observed,0.8101333333333333,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.0,0.8586666666666665,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.05,0.8481333333333332,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.1,0.8370666666666666,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.25,0.8314666666666665,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.5,0.7958666666666666,0.8666666666666666,0.6,0.9999999999999999
leakage_curve,0.75,0.7579999999999999,0.7333333333333333,0.6,0.8666666666666666
leakage_curve,observed,0.8415999999999999,0.8666666666666666,0.6,0.9999999999999999
observed_composition,observed,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
random_matched_control,0.0,0.8826,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,0.05,0.8896666666666665,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,0.1,0.8874,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,0.25,0.8896,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,0.5,0.8886666666666665,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,0.75,0.8867333333333333,0.8666666666666666,0.6,0.9999999999999999
random_matched_control,observed,0.8883333333333333,0.8666666666666666,0.6,0.9999999999999999
