mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,5.0,5.0,5.0
clean_reference,0.0,ecfp_rf,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_advanced,1.0,1.0,1.0,1.0
clean_reference,0.0,lgbm_basic,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
clean_reference,0.0,torch_mlp_basic,0.0,6.0,6.0,6.0
conflict_curve,0.0,ecfp_linear,0.0,5.0,5.0,6.0
conflict_curve,0.0,ecfp_rf,0.198,3.0,1.0,4.0
conflict_curve,0.0,lgbm_advanced,0.666,1.0,1.0,3.0
conflict_curve,0.0,lgbm_basic,0.135,2.0,1.0,3.0
conflict_curve,0.0,torch_mlp_advanced,0.001,4.0,3.0,4.0
conflict_curve,0.0,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,0.05,ecfp_linear,0.0,5.0,4.0,6.0
conflict_curve,0.05,ecfp_rf,0.142,3.0,1.0,3.0
conflict_curve,0.05,lgbm_advanced,0.659,1.0,1.0,3.0
conflict_curve,0.05,lgbm_basic,0.199,2.0,1.0,3.0
conflict_curve,0.05,torch_mlp_advanced,0.0,4.0,4.0,5.0
conflict_curve,0.05,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,0.1,ecfp_linear,0.0,5.0,4.0,6.0
conflict_curve,0.1,ecfp_rf,0.095,3.0,1.0,4.0
conflict_curve,0.1,lgbm_advanced,0.647,1.0,1.0,3.0
conflict_curve,0.1,lgbm_basic,0.258,2.0,1.0,3.0
conflict_curve,0.1,torch_mlp_advanced,0.0,4.0,4.0,5.0
conflict_curve,0.1,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,0.25,ecfp_linear,0.0,5.0,3.0,6.0
conflict_curve,0.25,ecfp_rf,0.021,3.0,2.0,4.0
conflict_curve,0.25,lgbm_advanced,0.513,1.0,1.0,2.0
conflict_curve,0.25,lgbm_basic,0.466,2.0,1.0,3.0
conflict_curve,0.25,torch_mlp_advanced,0.0,4.0,4.0,5.0
conflict_curve,0.25,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,0.5,ecfp_linear,0.001,3.0,3.0,4.0
conflict_curve,0.5,ecfp_rf,0.0,4.0,3.0,4.0
conflict_curve,0.5,lgbm_advanced,0.232,2.0,1.0,2.0
conflict_curve,0.5,lgbm_basic,0.767,1.0,1.0,2.0
conflict_curve,0.5,torch_mlp_advanced,0.0,5.0,5.0,6.0
conflict_curve,0.5,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,0.75,ecfp_linear,0.006,3.0,2.0,3.0
conflict_curve,0.75,ecfp_rf,0.0,4.0,4.0,4.0
conflict_curve,0.75,lgbm_advanced,0.003,2.0,2.0,3.0
conflict_curve,0.75,lgbm_basic,0.991,1.0,1.0,1.0
conflict_curve,0.75,torch_mlp_advanced,0.0,5.0,5.0,6.0
conflict_curve,0.75,torch_mlp_basic,0.0,6.0,5.0,6.0
conflict_curve,observed,ecfp_linear,0.0,5.0,4.0,6.0
conflict_curve,observed,ecfp_rf,0.131,3.0,1.0,3.0
conflict_curve,observed,lgbm_advanced,0.659,1.0,1.0,3.0
conflict_curve,observed,lgbm_basic,0.21,2.0,1.0,3.0
conflict_curve,observed,torch_mlp_advanced,0.0,4.0,4.0,5.0
conflict_curve,observed,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.0,ecfp_linear,0.0,5.0,5.0,6.0
leakage_curve,0.0,ecfp_rf,0.053,3.0,1.0,3.0
leakage_curve,0.0,lgbm_advanced,0.921,1.0,1.0,2.0
leakage_curve,0.0,lgbm_basic,0.026,2.0,1.0,3.0
leakage_curve,0.0,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.0,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.05,ecfp_linear,0.0,5.0,5.0,6.0
leakage_curve,0.05,ecfp_rf,0.068,3.0,1.0,3.0
leakage_curve,0.05,lgbm_advanced,0.915,1.0,1.0,2.0
leakage_curve,0.05,lgbm_basic,0.017,2.0,2.0,3.0
leakage_curve,0.05,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.05,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.1,ecfp_linear,0.0,5.0,5.0,6.0
leakage_curve,0.1,ecfp_rf,0.101,3.0,1.0,3.0
leakage_curve,0.1,lgbm_advanced,0.889,1.0,1.0,2.0
leakage_curve,0.1,lgbm_basic,0.01,2.0,2.0,3.0
leakage_curve,0.1,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.1,torch_mlp_basic,0.0,6.0,5.0,6.0
leakage_curve,0.25,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.25,ecfp_rf,0.14,2.0,1.0,3.0
leakage_curve,0.25,lgbm_advanced,0.853,1.0,1.0,2.0
leakage_curve,0.25,lgbm_basic,0.007,3.0,2.0,3.0
leakage_curve,0.25,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.25,torch_mlp_basic,0.0,5.0,5.0,6.0
leakage_curve,0.5,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.5,ecfp_rf,0.312,2.0,1.0,3.0
leakage_curve,0.5,lgbm_advanced,0.688,1.0,1.0,2.0
leakage_curve,0.5,lgbm_basic,0.0,3.0,2.0,3.0
leakage_curve,0.5,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,0.5,torch_mlp_basic,0.0,5.0,5.0,6.0
leakage_curve,0.75,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.75,ecfp_rf,0.572,1.0,1.0,2.0
leakage_curve,0.75,lgbm_advanced,0.428,2.0,1.0,2.0
leakage_curve,0.75,lgbm_basic,0.0,3.0,3.0,4.0
leakage_curve,0.75,torch_mlp_advanced,0.0,4.0,3.0,4.0
leakage_curve,0.75,torch_mlp_basic,0.0,5.0,5.0,6.0
leakage_curve,observed,ecfp_linear,0.0,5.0,5.0,6.0
leakage_curve,observed,ecfp_rf,0.107,3.0,1.0,3.0
leakage_curve,observed,lgbm_advanced,0.872,1.0,1.0,2.0
leakage_curve,observed,lgbm_basic,0.021,2.0,2.0,3.0
leakage_curve,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
leakage_curve,observed,torch_mlp_basic,0.0,6.0,5.0,6.0
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0
observed_composition,observed,ecfp_rf,0.0,3.0,3.0,3.0
observed_composition,observed,lgbm_advanced,1.0,1.0,1.0,1.0
observed_composition,observed,lgbm_basic,0.0,2.0,2.0,2.0
observed_composition,observed,torch_mlp_advanced,0.0,4.0,4.0,4.0
observed_composition,observed,torch_mlp_basic,0.0,5.0,5.0,5.0
