mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.04105663900740808,0.04105663900740808,0.04105663900740808,0.04105663900740808,1.0
conflict_curve,0.0,0.04084389572996264,0.04021972530221152,-0.05507270838200355,0.13723750099149562,0.79
conflict_curve,0.05,0.057595472589656624,0.05574506171841209,-0.046503713040193136,0.18138087454667964,0.846
conflict_curve,0.1,0.07036397501726872,0.0679022738548355,-0.040546545787962365,0.19045707607254428,0.898
conflict_curve,0.25,0.1175088288523001,0.11635089119069986,0.0022474684754095592,0.22829525065945605,0.976
conflict_curve,0.5,0.18120095921270382,0.18315469257805173,0.07406537191471595,0.27473750071055025,1.0
conflict_curve,0.75,0.22870780352099354,0.22858442270411983,0.18778193092536655,0.2682915814254193,1.0
conflict_curve,observed,0.06007345226937498,0.05966350297460443,-0.047884430477522257,0.1755631622284322,0.857
leakage_curve,0.0,0.040936484818075436,0.04099503051297915,-0.009329955069845174,0.08815517902566165,0.946
leakage_curve,0.05,0.03857625261936692,0.03882374921540577,-0.012758735758410793,0.08915034462741293,0.931
leakage_curve,0.1,0.03484421445929046,0.03545775757774183,-0.019274111201175725,0.08611166159764946,0.899
leakage_curve,0.25,0.028435135360726442,0.02856167483123684,-0.022515551886834215,0.08396858175980787,0.859
leakage_curve,0.5,0.0132325371724451,0.013834219096281797,-0.04369470253479116,0.06734789968050095,0.688
leakage_curve,0.75,-0.003758739715514822,-0.004362248384443657,-0.04440027597032894,0.03514447633744675,0.428
leakage_curve,observed,0.034508494091059744,0.034517044179476875,-0.021017392347253243,0.08969773864164779,0.892
observed_composition,observed,0.08041575470706454,0.08041575470706452,0.08041575470706452,0.08041575470706452,1.0
random_matched_control,0.0,0.07881823520751034,0.07752049780742998,-0.015806862385226918,0.1813706882306622,0.953
random_matched_control,0.05,0.08153666426312671,0.08106493227522527,-0.010234306768724288,0.18256714744491348,0.9625
random_matched_control,0.1,0.08108288566174172,0.07999129247978254,-0.011100542544989005,0.18605918133012855,0.9635
random_matched_control,0.25,0.08146713497684673,0.08101241909855195,-0.014416391191637507,0.18284527458675537,0.9585
random_matched_control,0.5,0.08047823057843664,0.0777298759693189,-0.01408675425552529,0.1843687874685756,0.954
random_matched_control,0.75,0.07985235650864615,0.07880141841448285,-0.013456386920053607,0.18824843544147718,0.9545
random_matched_control,observed,0.08052915534665303,0.07799754995957087,-0.003851654161969708,0.1804381578762671,0.9665
