group_type,group,n,total_advantage,mean_advantage,fraction_of_total_positive_advantage
audit_group,audit_clean,134,683.8684908864336,5.103496200645027,0.9048447099416846
audit_group,exact_leak,4,-0.4453181303168139,-0.11132953257920347,0.0002992456396279469
audit_group,label_conflict,3,-99.73042831399371,-33.24347610466457,0.0
audit_group,near_train_analogue,5,-3.4180758875270114,-0.6836151775054022,5.798260024134112e-05
audit_group,same_scaffold,69,-194.3805806225063,-2.817109864094294,0.09479806181844612
clean_vs_nonclean,audit_clean,134,683.8684908864336,5.103496200645027,0.9048447099416846
clean_vs_nonclean,nonclean,81,-297.9744029543438,-3.6786963327696767,0.09515529005831541
max_train_tanimoto_bin,"[0, 0.4)",86,54.31101548163556,0.6315234358329715,0.3934499363436284
max_train_tanimoto_bin,"[0.4, 0.6)",61,-418.57291092273584,-6.861850998733375,0.12476149742350322
max_train_tanimoto_bin,"[0.6, 0.8)",53,853.7013242838409,16.107572156298886,0.48109535848404816
max_train_tanimoto_bin,"[0.8, 0.9)",6,-1.4747580115411636,-0.24579300192352727,0.000393962109192311
max_train_tanimoto_bin,"[0.9, 1.0]",9,-102.07058289910943,-11.341175877678825,0.0002992456396279469
