metric,group,label,count,fraction,value
rows_total,,,1096,1.0,1096.0
rows_train,train,,773,0.7052919708029197,773.0
rows_valid,valid,,108,0.09854014598540146,108.0
rows_test,test,,215,0.19616788321167883,215.0
valid_molecules,,,1096,1.0,1096.0
test_label_conflicts,,,3,0.013953488372093023,3.0
exact_test_leaks,,,7,0.03255813953488372,7.0
near_train_analogues,,,12,0.05581395348837209,12.0
same_scaffold_test_molecules,,,81,0.3767441860465116,81.0
audit_clean_test_molecules,,,134,0.6232558139534884,134.0
audit_group_count,audit_clean,,134,0.6232558139534884,134.0
audit_group_count,same_scaffold,,69,0.3209302325581395,69.0
audit_group_count,near_train_analogue,,5,0.023255813953488372,5.0
audit_group_count,exact_leak,,4,0.018604651162790697,4.0
audit_group_count,label_conflict,,3,0.013953488372093023,3.0
label_distribution_by_audit_group,audit_clean,0.01,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.04,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.1,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.11,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.12,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.13,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.14,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.15,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.16,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.17,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.18,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.19,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.2,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.21,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.22,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.23,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.24,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.25,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.27,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.29,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.34,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.39,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.4,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.43,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.44,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.45,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.46,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.5,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.52,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.53,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.54,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.55,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.58,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.62,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.68,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.7,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.73,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.77,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,0.78,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.8,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.87,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.88,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.89,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.9,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.94,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,0.95,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.96,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.98,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,0.99,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.2,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.28,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.3,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,1.34,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.46,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.5,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.53,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.6,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,1.67,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.7,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.9,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,1.92,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,2.2,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,2.38,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,2.4,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,2.5,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,2.6,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,2.8,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,3.3,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,3.4,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,3.6,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,3.8,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,4.0,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,4.3,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,4.6,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,4.9,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,5.3,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,5.4,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,5.5,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,5.6,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,5.73,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,6.6,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,7.4,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,8.2,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,8.9,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,9.75,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,11.0,2,0.014925373134328358,2.0
label_distribution_by_audit_group,audit_clean,12.0,3,0.022388059701492536,3.0
label_distribution_by_audit_group,audit_clean,13.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,14.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,16.5,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,17.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,18.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,23.8,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,28.0,1,0.007462686567164179,1.0
label_distribution_by_audit_group,audit_clean,35.37,1,0.007462686567164179,1.0
label_distribution_by_audit_group,exact_leak,0.94,1,0.25,1.0
label_distribution_by_audit_group,exact_leak,1.39,1,0.25,1.0
label_distribution_by_audit_group,exact_leak,2.65,1,0.25,1.0
label_distribution_by_audit_group,exact_leak,4.8,1,0.25,1.0
label_distribution_by_audit_group,label_conflict,1.8,1,0.3333333333333333,1.0
label_distribution_by_audit_group,label_conflict,12.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,label_conflict,45.0,1,0.3333333333333333,1.0
label_distribution_by_audit_group,near_train_analogue,0.16,1,0.2,1.0
label_distribution_by_audit_group,near_train_analogue,0.18,1,0.2,1.0
label_distribution_by_audit_group,near_train_analogue,0.28,1,0.2,1.0
label_distribution_by_audit_group,near_train_analogue,0.79,1,0.2,1.0
label_distribution_by_audit_group,near_train_analogue,0.83,1,0.2,1.0
label_distribution_by_audit_group,same_scaffold,0.13,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,0.15,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.17,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,0.22,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.23,3,0.043478260869565216,3.0
label_distribution_by_audit_group,same_scaffold,0.24,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.25,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.26,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.28,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.3,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.33,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.37,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.42,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.44,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.48,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.58,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.61,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.67,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.69,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.7,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.72,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,0.75,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.77,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,0.79,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,1.0,3,0.043478260869565216,3.0
label_distribution_by_audit_group,same_scaffold,1.1,3,0.043478260869565216,3.0
label_distribution_by_audit_group,same_scaffold,1.2,4,0.057971014492753624,4.0
label_distribution_by_audit_group,same_scaffold,1.26,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,1.3,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,1.4,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,1.5,3,0.043478260869565216,3.0
label_distribution_by_audit_group,same_scaffold,1.7,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,1.8,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,2.4,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,2.42,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,2.5,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,3.1,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,3.3,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,3.6,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,4.06,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,4.28,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,4.4,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,5.5,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,6.23,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,6.5,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,6.6,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,7.33,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,8.7,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,9.7,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,10.0,1,0.014492753623188406,1.0
label_distribution_by_audit_group,same_scaffold,12.0,2,0.028985507246376812,2.0
label_distribution_by_audit_group,same_scaffold,49.0,1,0.014492753623188406,1.0
