mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975
clean_reference,0.0,ecfp_linear,0.0,6.0,6.0,6.0
clean_reference,0.0,ecfp_rf,0.0,4.0,4.0,4.0
clean_reference,0.0,lgbm_advanced,0.0,3.0,3.0,3.0
clean_reference,0.0,lgbm_basic,1.0,1.0,1.0,1.0
clean_reference,0.0,torch_mlp_advanced,0.0,2.0,2.0,2.0
clean_reference,0.0,torch_mlp_basic,0.0,5.0,5.0,5.0
conflict_curve,0.0,ecfp_linear,0.012,6.0,2.0,6.0
conflict_curve,0.0,ecfp_rf,0.201,3.0,1.0,6.0
conflict_curve,0.0,lgbm_advanced,0.218,3.0,1.0,6.0
conflict_curve,0.0,lgbm_basic,0.185,3.0,1.0,6.0
conflict_curve,0.0,torch_mlp_advanced,0.276,3.0,1.0,5.0
conflict_curve,0.0,torch_mlp_basic,0.108,3.0,1.0,5.0
conflict_curve,0.05,ecfp_linear,0.003,6.0,2.0,6.0
conflict_curve,0.05,ecfp_rf,0.193,3.0,1.0,6.0
conflict_curve,0.05,lgbm_advanced,0.205,3.0,1.0,6.0
conflict_curve,0.05,lgbm_basic,0.228,3.0,1.0,6.0
conflict_curve,0.05,torch_mlp_advanced,0.271,3.0,1.0,6.0
conflict_curve,0.05,torch_mlp_basic,0.1,4.0,1.0,6.0
conflict_curve,0.1,ecfp_linear,0.007,6.0,2.0,6.0
conflict_curve,0.1,ecfp_rf,0.209,3.0,1.0,6.0
conflict_curve,0.1,lgbm_advanced,0.211,3.0,1.0,6.0
conflict_curve,0.1,lgbm_basic,0.207,3.0,1.0,6.0
conflict_curve,0.1,torch_mlp_advanced,0.261,3.0,1.0,5.0
conflict_curve,0.1,torch_mlp_basic,0.105,3.5,1.0,5.0
conflict_curve,0.25,ecfp_linear,0.011,6.0,2.0,6.0
conflict_curve,0.25,ecfp_rf,0.196,3.0,1.0,6.0
conflict_curve,0.25,lgbm_advanced,0.202,3.0,1.0,6.0
conflict_curve,0.25,lgbm_basic,0.223,3.0,1.0,6.0
conflict_curve,0.25,torch_mlp_advanced,0.232,3.0,1.0,6.0
conflict_curve,0.25,torch_mlp_basic,0.136,3.0,1.0,6.0
conflict_curve,0.5,ecfp_linear,0.0,6.0,4.0,6.0
conflict_curve,0.5,ecfp_rf,0.749,1.0,1.0,6.0
conflict_curve,0.5,lgbm_advanced,0.0,3.0,2.0,6.0
conflict_curve,0.5,lgbm_basic,0.251,2.0,1.0,2.0
conflict_curve,0.5,torch_mlp_advanced,0.0,4.0,3.0,5.024999999999977
conflict_curve,0.5,torch_mlp_basic,0.0,5.0,3.0,6.0
conflict_curve,0.75,ecfp_linear,0.0,6.0,4.0,6.0
conflict_curve,0.75,ecfp_rf,0.969,1.0,1.0,2.0
conflict_curve,0.75,lgbm_advanced,0.0,3.0,3.0,6.0
conflict_curve,0.75,lgbm_basic,0.031,2.0,1.0,3.0
conflict_curve,0.75,torch_mlp_advanced,0.0,4.0,2.0,4.0
conflict_curve,0.75,torch_mlp_basic,0.0,5.0,4.0,6.0
conflict_curve,observed,ecfp_linear,0.006,6.0,2.0,6.0
conflict_curve,observed,ecfp_rf,0.209,3.0,1.0,6.0
conflict_curve,observed,lgbm_advanced,0.211,3.0,1.0,6.0
conflict_curve,observed,lgbm_basic,0.203,3.0,1.0,6.0
conflict_curve,observed,torch_mlp_advanced,0.27,3.0,1.0,6.0
conflict_curve,observed,torch_mlp_basic,0.101,3.0,1.0,5.0
leakage_curve,0.0,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.0,ecfp_rf,0.203,3.0,1.0,6.0
leakage_curve,0.0,lgbm_advanced,0.195,3.0,1.0,6.0
leakage_curve,0.0,lgbm_basic,0.22,3.0,1.0,5.0
leakage_curve,0.0,torch_mlp_advanced,0.324,2.0,1.0,4.0
leakage_curve,0.0,torch_mlp_basic,0.058,4.0,1.0,5.0
leakage_curve,0.05,ecfp_linear,0.0,6.0,5.0,6.0
leakage_curve,0.05,ecfp_rf,0.203,3.0,1.0,6.0
leakage_curve,0.05,lgbm_advanced,0.171,3.0,1.0,6.0
leakage_curve,0.05,lgbm_basic,0.261,3.0,1.0,5.0
leakage_curve,0.05,torch_mlp_advanced,0.317,2.0,1.0,4.0
leakage_curve,0.05,torch_mlp_basic,0.048,4.0,1.0,5.0
