mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive
clean_reference,0.0,0.4039070522404229,0.4039070522404229,0.4039070522404229,0.4039070522404229,1.0
conflict_curve,0.0,0.20224861512299253,-0.14486214908327089,-3.776743417443039,6.540812631271576,0.473
conflict_curve,0.05,0.31983989275711067,0.026760012786852916,-4.041563978413808,7.844560361929747,0.505
conflict_curve,0.1,0.33140092668670706,-0.07932049638154126,-3.964693948989033,6.599899513146022,0.484
conflict_curve,0.25,0.43719122126833715,0.16259662098315353,-3.9390659864144775,9.109967440271518,0.534
conflict_curve,0.5,-0.022129965478631414,-0.24132092761720791,-1.9893862183184154,6.263939821812921,0.251
conflict_curve,0.75,-1.3901624461406394,-1.3649755299351387,-2.884167256853928,0.7001746732687817,0.031
conflict_curve,observed,0.3726816108338554,0.003002731949696802,-4.013286748423387,8.806307948081429,0.502
leakage_curve,0.0,0.3796356532623483,0.10485229659970052,-1.8159616186011907,4.452004343295232,0.524
leakage_curve,0.05,0.3650935190482278,0.11981796481733809,-1.920438696437567,4.836763393954843,0.533
leakage_curve,0.1,0.3411914515348567,0.08644005439200098,-2.009585781125785,4.723187924311446,0.524
leakage_curve,0.25,0.3447576240268008,0.07039567137142955,-1.897494791822556,4.760676885331951,0.512
leakage_curve,0.5,0.1358423642821415,-0.08824683932548716,-2.163604078515295,4.6914589774846105,0.461
leakage_curve,0.75,0.1287515118739365,-0.08372560088447317,-2.397385664160032,3.928211550573112,0.477
leakage_curve,observed,0.38789748149307524,0.07617608393684638,-1.9864169868761246,4.957291970370734,0.526
observed_composition,observed,0.15974662560012476,0.15974662560012476,0.15974662560012476,0.15974662560012476,1.0
random_matched_control,0.0,0.1466362969171267,-0.07158526758986539,-2.769798709999652,4.27517202527221,0.4895
random_matched_control,0.05,0.1778038996841999,-0.10139865506294576,-3.0779050826295373,4.876778451620197,0.474
random_matched_control,0.1,0.198005311840497,-0.061936403442771404,-2.827227192203552,4.688435801439151,0.4855
random_matched_control,0.25,0.21320605935612383,-0.037768262071977476,-2.859925516131497,4.48489898799539,0.4895
random_matched_control,0.5,0.10660448914049693,-0.15906230879562955,-3.244732831152395,4.762131850234565,0.4655
random_matched_control,0.75,0.10355502792090468,-0.17182955121541577,-3.3991923137272413,4.772284909488047,0.452
random_matched_control,observed,0.16510192981310287,-0.10922864644363184,-3.2904259883488582,4.344590653254184,0.471
