smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C13H9NO5S3/c1-8(15)14(22(17,18)12-3-2-6-20-12)9-4-5-10-11(7-9)21-13(16)19-10/h2-7H,1H3",1,0,train
Clc1ccccc1-c1n[nH]c(-c2ccccc2)n1,True,(),0,"InChI=1S/C14H10ClN3/c15-12-9-5-4-8-11(12)14-16-13(17-18-14)10-6-2-1-3-7-10/h1-9H,(H,16,17,18)",1,1,train
COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,True,(),0,"InChI=1S/C16H16N6O2/c1-24-14-5-3-2-4-13(14)10-18-15(23)11-22-20-16(19-21-22)12-6-8-17-9-7-12/h2-9H,10-11H2,1H3,(H,18,23)",1,2,train
CC(=O)Nc1cccc(NC(=O)C2CCCN2C(=O)Nc2ccccc2C)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H24N4O3/c1-14-7-3-4-10-18(14)24-21(28)25-12-6-11-19(25)20(27)23-17-9-5-8-16(13-17)22-15(2)26/h3-5,7-10,13,19H,6,11-12H2,1-2H3,(H,22,26)(H,23,27)(H,24,28)",0,3,train
CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C26H37N7O3/c1-3-24(25-28-29-30-33(25)18-22-5-4-12-36-22)32(9-8-31-10-13-35-14-11-31)17-21-16-20-15-19(2)6-7-23(20)27-26(21)34/h6-7,15-16,22,24H,3-5,8-14,17-18H2,1-2H3,(H,27,34)",0,4,train
N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H22Cl2N4O2.BrH/c22-16-6-5-15(13-17(16)23)20(28)14-27-19-4-2-1-3-18(19)26(21(27)24)8-7-25-9-11-29-12-10-25;/h1-6,13,24H,7-12,14H2;1H",1,5,train
Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C26H33N5O3S/c1-18-7-12-25-24(17-18)27-28-31(25)22-13-15-29(16-14-22)35(33,34)23-10-8-21(9-11-23)26(32)30-19(2)5-4-6-20(30)3/h7-12,17,19-20,22H,4-6,13-16H2,1-3H3",1,6,train
COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H14N2O3S/c1-21-13-6-2-5-11-14(13)17-9-12(15(11)19)16(20)18-8-10-4-3-7-22-10/h2-7,9H,8H2,1H3,(H,17,19)(H,18,20)",1,7,train
CCc1nnc(SCc2ccc(OC(C)C)cc2)n1N,True,(),0,"InChI=1S/C14H20N4OS/c1-4-13-16-17-14(18(13)15)20-9-11-5-7-12(8-6-11)19-10(2)3/h5-8,10H,4,9,15H2,1-3H3",1,8,train
Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H27N5O/c1-16-7-8-22-20(13-16)24-25-28(22)19-9-11-26(12-10-19)15-23(29)27-17(2)14-18-5-3-4-6-21(18)27/h3-8,13,17,19H,9-12,14-15H2,1-2H3",1,9,train
