smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,True,isolated alkene,1,"InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10+/m1/s1",0,0,train
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C24H24N2O4/c1-15(2)30-24(27)23-19(14-28-3)22-18-11-17(29-13-16-7-5-4-6-8-16)9-10-20(18)26-21(22)12-25-23/h4-12,15,26H,13-14H2,1-3H3",0,1,train
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,True,(),0,"InChI=1S/C18H28N2O4/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23)/t15-/m0/s1",0,2,train
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,True,(),0,"InChI=1S/C16H13Cl2NO4/c17-11-5-3-6-12(18)16(11)19-13-7-2-1-4-10(13)8-15(22)23-9-14(20)21/h1-7,19H,8-9H2,(H,20,21)",1,3,train
CC(=O)Nc1ccc(O)cc1,True,hydroquinone,1,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",1,4,train
CC(=O)Nc1ccccc1,True,(),0,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",0,5,train
CC(=O)Nc1nnc(S(N)(=O)=O)s1,True,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",1,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",0,6,train
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H18ClN5/c1-24(2)12-18-23-22-17-11-21-19(13-6-4-3-5-7-13)15-10-14(20)8-9-16(15)25(17)18/h3-10H,11-12H2,1-2H3",0,7,train
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",1,8,train
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,True,(),0,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3/t12-/m1/s1",0,9,train
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,True,(),0,"InChI=1S/C21H32N6O3/c1-4-19(28)27(18-9-7-6-8-10-18)21(17-30-3)11-13-24(14-12-21)15-16-26-20(29)25(5-2)22-23-26/h6-10H,4-5,11-17H2,1-3H3",0,10,train
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C17H25N3O2S/c1-19(2)10-7-15-12-18-17-6-5-14(11-16(15)17)13-23(21,22)20-8-3-4-9-20/h5-6,11-12,18H,3-4,7-10,13H2,1-2H3",0,11,train
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,True,(),0,"InChI=1S/C17H18N4O/c1-11-13(19-10-18-11)9-21-8-7-15-16(17(21)22)12-5-3-4-6-14(12)20(15)2/h3-6,10H,7-9H2,1-2H3,(H,18,19)",1,12,train
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-5-3-2-4-6-12)14-9-13(18)7-8-15(14)22(11)16/h2-9H,10H2,1H3",0,13,train
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,True,isolated alkene,1,"InChI=1S/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3/t14-/m0/s1",0,14,train
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,True,aniline,1,"InChI=1S/C13H18Br2N2O/c14-9-5-8(13(16)12(15)6-9)7-17-10-1-3-11(18)4-2-10/h5-6,10-11,17-18H,1-4,7,16H2",0,15,train
CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,True,"aniline, phthalimide",2,"InChI=1S/C13H16N2O2/c1-2-13(8-7-11(16)15-12(13)17)9-3-5-10(14)6-4-9/h3-6H,2,7-8,14H2,1H3,(H,15,16,17)/t13-/m1/s1",0,16,train
Cc1cc(N(C)C)ccc1C[C@H](C)N,True,(),0,"InChI=1S/C12H20N2/c1-9-7-12(14(3)4)6-5-11(9)8-10(2)13/h5-7,10H,8,13H2,1-4H3/t10-/m0/s1",0,17,train
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,True,iodine,1,"InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3",1,18,train
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,True,(),0,"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",1,19,train
CN(C)CCC=C1c2ccccc2CCc2ccccc21,True,(),0,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",1,20,train
CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)[C@@H]1c1ccccc1Cl,True,Aliphatic long chain,1,"InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3/t17-/m0/s1",0,21,train
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,True,hydroquinone,1,"InChI=1S/C20H22ClN3O/c1-3-24(4-2)13-14-11-16(6-8-20(14)25)23-18-9-10-22-19-12-15(21)5-7-17(18)19/h5-12,25H,3-4,13H2,1-2H3,(H,22,23)",0,22,train
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,True,aniline,1,"InChI=1S/C25H35N3O6S/c1-18(2)15-28(35(31,32)22-10-8-20(26)9-11-22)16-24(29)23(14-19-6-4-3-5-7-19)27-25(30)34-21-12-13-33-17-21/h3-11,18,21,23-24,29H,12-17,26H2,1-2H3,(H,27,30)/t21-,23-,24+/m0/s1",1,23,train
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,True,(),0,"InChI=1S/C17H19N5/c1-16(2,9-18)14-5-13(8-22-12-20-11-21-22)6-15(7-14)17(3,4)10-19/h5-7,11-12H,8H2,1-4H3",0,24,train
Nc1ccccc1,True,aniline,1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",0,25,train
O=C1c2ccccc2C(=O)c2ccccc21,True,(),0,InChI=1S/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H,0,26,train
Cc1cc(=O)n(-c2ccccc2)n1C,True,(),0,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",1,27,train
CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H20N4O2/c1-5-6-11-14(21)19-13-9-10(2)7-8-12(13)17-16(18(3)4)20(19)15(11)22/h7-9,11H,5-6H2,1-4H3/t11-/m1/s1",0,28,train
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,True,(),0,"InChI=1S/C22H30N2/c1-3-23(4-2)15-10-16-24(21-13-6-5-7-14-21)22-17-19-11-8-9-12-20(19)18-22/h5-9,11-14,22H,3-4,10,15-18H2,1-2H3",0,29,train
