smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C13H9NO5S3/c1-8(15)14(22(17,18)12-3-2-6-20-12)9-4-5-10-11(7-9)21-13(16)19-10/h2-7H,1H3",0,0,train
COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H31N7O/c1-23(2,3)30-22(25-26-27-30)21(19-7-5-6-8-20(19)31-4)29-15-13-28(14-16-29)17-18-9-11-24-12-10-18/h5-12,21H,13-17H2,1-4H3",1,1,train
CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C26H37N7O3/c1-3-24(25-28-29-30-33(25)18-22-5-4-12-36-22)32(9-8-31-10-13-35-14-11-31)17-21-16-20-15-19(2)6-7-23(20)27-26(21)34/h6-7,15-16,22,24H,3-5,8-14,17-18H2,1-2H3,(H,27,34)",0,2,train
N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H22Cl2N4O2.BrH/c22-16-6-5-15(13-17(16)23)20(28)14-27-19-4-2-1-3-18(19)26(21(27)24)8-7-25-9-11-29-12-10-25;/h1-6,13,24H,7-12,14H2;1H",1,3,train
CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,True,(),0,"InChI=1S/C19H26N2O5/c1-7-18(2,3)20-16(23)12-8-9-14-13(10-12)21(11-15(22)25-6)17(24)19(4,5)26-14/h8-10H,7,11H2,1-6H3,(H,20,23)",0,4,train
CCc1cc2c(=O)[nH]cnc2s1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C8H8N2OS/c1-2-5-3-6-7(11)9-4-10-8(6)12-5/h3-4H,2H2,1H3,(H,9,10,11)",0,5,train
COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H14N2O3S/c1-21-13-6-2-5-11-14(13)17-9-12(15(11)19)16(20)18-8-10-4-3-7-22-10/h2-7,9H,8H2,1H3,(H,17,19)(H,18,20)",1,6,train
CCc1nnc(SCc2ccc(OC(C)C)cc2)n1N,True,(),0,"InChI=1S/C14H20N4OS/c1-4-13-16-17-14(18(13)15)20-9-11-5-7-12(8-6-11)19-10(2)3/h5-8,10H,4,9,15H2,1-3H3",0,7,train
Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C23H27N5O/c1-16-7-8-22-20(13-16)24-25-28(22)19-9-11-26(12-10-19)15-23(29)27-17(2)14-18-5-3-4-6-21(18)27/h3-8,13,17,19H,9-12,14-15H2,1-2H3",1,8,train
CCOC(=O)CSC1=C(C#N)C(C)C2C(=O)CCCC2=N1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C15H18N2O3S/c1-3-20-13(19)8-21-15-10(7-16)9(2)14-11(17-15)5-4-6-12(14)18/h9,17H,3-6,8H2,1-2H3",0,9,train
