smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,True,catechol,1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2",-6.2199998,0,train
C/C=C\C#CCC=CC=CCC(=O)NCC(C)C,True,"polyene, triple bond",2,"InChI=1S/C16H23NO/c1-4-5-6-7-8-9-10-11-12-13-16(18)17-14-15(2)3/h4-5,10-13,15H,8-9,14H2,1-3H3,(H,17,18)/b5-4-,11-10-,13-12+",-3.8599999,1,train
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,True,isolated alkene,1,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",-4.0900002,2,train
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,True,triple bond,1,"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1",-4.8400002,3,train
C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1OC(C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,True,isolated alkene,1,"InChI=1S/C28H37FO11/c1-12-8-16-15-5-4-13-9-14(30)6-7-25(13,2)27(15,29)17(31)10-26(16,3)28(12,38)18(32)11-39-24-21(35)19(33)20(34)22(40-24)23(36)37/h6-7,9,12,15-17,19-22,24,31,33-35,38H,4-5,8,10-11H2,1-3H3,(H,36,37)/t12-,15+,16+,17+,19-,20-,21+,22-,24+,25+,26+,27+,28+/m1/s1",-6.119999900000002,4,train
Cc1ccc2c(=O)c3cccc(CC(=O)OC4OC(C(=O)O)[C@@H](O)[C@@H](O)[C@@H]4O)c3oc2c1C,True,Polycyclic aromatic hydrocarbon,1,"InChI=1S/C23H22O10/c1-9-6-7-13-15(25)12-5-3-4-11(20(12)32-19(13)10(9)2)8-14(24)31-23-18(28)16(26)17(27)21(33-23)22(29)30/h3-7,16-18,21,23,26-28H,8H2,1-2H3,(H,29,30)/t16-,17+,18+,21?,23?/m1/s1",-6.52,5,train
C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,True,"cumarine, Michael acceptor",2,"InChI=1S/C21H22O7/c1-6-11(2)20(24)27-19-18(25-12(3)22)16-14(28-21(19,4)5)9-7-13-8-10-15(23)26-17(13)16/h6-10,18-19H,1-5H3/b11-6+/t18-,19-/m0/s1",-4.579999900000002,6,train
O=C(O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,True,(),0,"InChI=1S/C19H25N3O5/c23-17(14-1-3-16(4-2-14)27-13-19(25)26)11-22-10-9-21(12-18(22)24)15-5-7-20-8-6-15/h1-4,15,20H,5-13H2,(H,25,26)",-6.119999900000002,7,train
CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,True,Aliphatic long chain,1,"InChI=1S/C23H33N3O5/c1-2-3-14-30-23(29)17-31-20-6-4-18(5-7-20)21(27)15-26-13-12-25(16-22(26)28)19-8-10-24-11-9-19/h4-7,19,24H,2-3,8-17H2,1H3",-5.79,8,train
CCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C25H37N3O5/c1-3-4-5-19(2)33-25(31)18-32-22-8-6-20(7-9-22)23(29)16-28-15-14-27(17-24(28)30)21-10-12-26-13-11-21/h6-9,19,21,26H,3-5,10-18H2,1-2H3",-5.29,9,train
