smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C22H25N3O3/c1-12-19(11-23-25(12)18-4-2-15(3-5-18)22(27)28)21(26)24-20-16-7-13-6-14(9-16)10-17(20)8-13/h2-5,11,13-14,16-17,20H,6-10H2,1H3,(H,24,26)(H,27,28)",3.0,0,train
C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,True,"hydroxamic acid, Oxygen-nitrogen single bond",2,"InChI=1S/C18H20ClNO4S/c1-18(17(21)20-22,25(2,23)24)12-11-13-3-5-14(6-4-13)15-7-9-16(19)10-8-15/h3-10,22H,11-12H2,1-2H3,(H,20,21)/t18-/m1/s1",3.0,1,train
O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,True,"aldehyde, Aliphatic long chain, catechol",3,"InChI=1S/C25H29N3O4/c29-17-28-22-14-20(8-11-23(22)30)24(31)15-26-13-12-18-6-9-21(10-7-18)27-16-25(32)19-4-2-1-3-5-19/h1-11,14,17,24-27,30-32H,12-13,15-16H2,(H,28,29)/t24-,25-/m0/s1",3.0,2,train
Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,True,Aliphatic long chain,1,"InChI=1S/C18H18F3N3O3/c1-10-7-13(16-22-17(27-24-16)18(19,20)21)8-11(2)15(10)25-6-4-5-14-9-12(3)23-26-14/h7-9H,4-6H2,1-3H3",13.49,3,train
C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,True,(),0,"InChI=1S/C26H24F3NO3/c1-17(18-2-4-19(5-3-18)23-11-10-22(28)16-24(23)29)30-14-12-26(13-15-31,33-25(30)32)20-6-8-21(27)9-7-20/h2-11,16-17,31H,12-15H2,1H3/t17-,26+/m0/s1",64.57,4,train
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,True,"((2, 'molecule has a stereo bond in a ring'), (2, 'InChI: Ambiguous stereo'))",0,"InChI=1S/C19H14Cl2FN3O/c1-8-4-11-10-6-14(22)13(21)7-16(10)23-17(11)19(25-8)12-5-9(20)2-3-15(12)24-18(19)26/h2-3,5-8,23,25H,4H2,1H3,(H,24,26)/t8-,19+/m0/s1",8.71,5,train
O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,True,(),0,"InChI=1S/C19H21ClN2O5S/c20-16-6-7-18(27-14-19(23)24)15(12-16)13-21-8-10-22(11-9-21)28(25,26)17-4-2-1-3-5-17/h1-7,12H,8-11,13-14H2,(H,23,24)",3.0,6,train
CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H17F2N5O2S2/c1-16(6-24,7-25)23-13-11-12(20-14(19)27-11)21-15(22-13)26-5-8-3-2-4-9(17)10(8)18/h2-4,24-25H,5-7H2,1H3,(H3,19,20,21,22,23)",7.0,7,train
O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C24H25ClN2O3/c25-21-2-1-17(18-6-19(23(29)30)12-26-11-18)7-20(21)22(28)27-13-24-8-14-3-15(9-24)5-16(4-14)10-24/h1-2,6-7,11-12,14-16H,3-5,8-10,13H2,(H,27,28)(H,29,30)",7.0,8,train
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,True,(),0,"InChI=1S/C23H34N4O3S/c1-15-11-13-19(14-12-15)31(29,30)26-21-20(22(28)24-17(3)23(4,5)6)16(2)25-27(21)18-9-7-8-10-18/h11-14,17-18,26H,7-10H2,1-6H3,(H,24,28)/t17-/m0/s1",8.0,9,train
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,True,(),0,"InChI=1S/C16H14ClFO5S/c1-2-24(21,22)11-4-5-12(14(18)8-11)13-7-10(17)3-6-15(13)23-9-16(19)20/h3-8H,2,9H2,1H3,(H,19,20)",4.24,10,train
N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C26H18N6O/c27-15-17-1-3-18(4-2-17)19-5-9-21(10-6-19)31-26(33)32-22-11-7-20(8-12-22)23-13-14-28-25-24(23)29-16-30-25/h1-14,16H,(H,28,29,30)(H2,31,32,33)",67.61,11,train
CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,True,(),0,"InChI=1S/C27H29N5O4S/c1-2-31(21-9-5-3-6-10-21)27(33)24-17-29-32(22-11-7-4-8-12-22)26(24)30-37(34,35)23-15-13-20(14-16-23)25-18-28-19-36-25/h4,7-8,11-19,21,30H,2-3,5-6,9-10H2,1H3",35.0,12,train
O=C(O)COc1ccc(C(F)(F)F)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,True,(),0,"InChI=1S/C20H21F3N2O5S/c21-20(22,23)16-6-7-18(30-14-19(26)27)15(12-16)13-24-8-10-25(11-9-24)31(28,29)17-4-2-1-3-5-17/h1-7,12H,8-11,13-14H2,(H,26,27)",3.0,13,train
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,True,(),0,"InChI=1S/C24H20Cl2FN5O2/c1-13-10-29-24(31-19-6-5-17(27)9-18(19)26)32-22(13)15-8-20(28-11-15)23(34)30-21(12-33)14-3-2-4-16(25)7-14/h2-11,21,28,33H,12H2,1H3,(H,30,34)(H,29,31,32)/t21-/m1/s1",8.51,14,train
O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C15H11ClN2O2/c16-10-6-7-12-11(8-10)13(9-4-2-1-3-5-9)18-15(20)14(19)17-12/h1-8,15,20H,(H,17,19)",8.51,15,train
O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,True,(),0,"InChI=1S/C20H23ClN2O5S/c21-18-6-7-19(28-14-20(24)25)17(12-18)13-22-8-10-23(11-9-22)29(26,27)15-16-4-2-1-3-5-16/h1-7,12H,8-11,13-15H2,(H,24,25)",9.0,16,train
O=C(O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1,True,(),0,"InChI=1S/C18H10F6N2O2/c19-17(20,21)12-5-1-10(2-6-12)14-9-15(18(22,23)24)25-26(14)13-7-3-11(4-8-13)16(27)28/h1-9H,(H,27,28)",9.33,17,train
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,True,(),0,"InChI=1S/C19H22N2/c1-16-7-9-17(10-8-16)18(19-6-2-3-12-20-19)11-15-21-13-4-5-14-21/h2-3,6-12H,4-5,13-15H2,1H3/b18-11+",84.0,18,train
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,True,(),0,"InChI=1S/C26H31Cl2N7O3/c1-5-34-10-12-35(13-11-34)18-8-6-17(7-9-18)31-21-15-22(30-16-29-21)33(2)26(36)32-25-23(27)19(37-3)14-20(38-4)24(25)28/h6-9,14-16H,5,10-13H2,1-4H3,(H,32,36)(H,29,30,31)",87.1,19,train
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,True,(),0,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",87.1,20,train
O=C(NCCCCCCNCCc1ccc(O)c2[nH]c(=O)sc12)Nc1ccccc1,True,Aliphatic long chain,1,"InChI=1S/C22H28N4O3S/c27-18-11-10-16(20-19(18)26-22(29)30-20)12-15-23-13-6-1-2-7-14-24-21(28)25-17-8-4-3-5-9-17/h3-5,8-11,23,27H,1-2,6-7,12-15H2,(H,26,29)(H2,24,25,28)",98.0,21,train
CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,True,Michael acceptor,1,"InChI=1S/C26H21NO4/c1-2-22-25(18-6-4-3-5-7-18)26(21-14-11-19(28)16-23(21)27-22)31-20-12-8-17(9-13-20)10-15-24(29)30/h3-16,28H,2H2,1H3,(H,29,30)/b15-10+",102.33,22,train
CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,True,Aliphatic long chain,1,"InChI=1S/C23H31N3O7S3/c1-35(29,30)26-19-6-3-17(4-7-19)10-14-33-13-2-15-36(31,32)16-12-24-11-9-18-5-8-20(27)21-22(18)34-23(28)25-21/h3-8,24,26-27H,2,9-16H2,1H3,(H,25,28)",105.0,23,train
Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,True,Aliphatic long chain,1,"InChI=1S/C29H25NO3/c1-20-10-2-4-13-22(20)27-24-15-6-7-16-25(24)30(28(27)29(31)32)18-9-19-33-26-17-8-12-21-11-3-5-14-23(21)26/h2-8,10-17H,9,18-19H2,1H3,(H,31,32)",123.03,24,train
COCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)OC)c3)c2n1,True,Aliphatic long chain,1,"InChI=1S/C18H21N5O5/c1-26-6-7-28-17-21-15(19)14-16(22-17)23(18(25)20-14)10-12-5-3-4-11(8-12)9-13(24)27-2/h3-5,8H,6-7,9-10H2,1-2H3,(H,20,25)(H2,19,21,22)",125.0,25,train
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,True,(),0,"InChI=1S/C21H20ClN3O2/c22-16-3-1-15(2-4-16)19-9-10-20(27-19)21(26)24-17-5-7-18(8-6-17)25-13-11-23-12-14-25/h1-10,23H,11-14H2,(H,24,26)",3.0,26,train
Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,True,(),0,"InChI=1S/C28H36ClFN2O3/c1-20-17-25(7-8-26(20)29)35-24-11-13-31(14-12-24)19-22-9-15-32(16-10-22)28(2,27(33)34)18-21-3-5-23(30)6-4-21/h3-8,17,22,24H,9-16,18-19H2,1-2H3,(H,33,34)/t28-/m0/s1",3.0,27,train
O=C(O)CCc1ccc(OCc2cc(Cl)ccc2-c2ccccc2)cc1,True,(),0,"InChI=1S/C22H19ClO3/c23-19-9-12-21(17-4-2-1-3-5-17)18(14-19)15-26-20-10-6-16(7-11-20)8-13-22(24)25/h1-7,9-12,14H,8,13,15H2,(H,24,25)",13.8,28,train
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,True,Michael acceptor,1,"InChI=1S/C25H27ClN6O3/c1-4-23(33)28-17-6-5-7-19(14-17)35-24-20(26)16-27-25(30-24)29-21-9-8-18(15-22(21)34-3)32-12-10-31(2)11-13-32/h4-9,14-16H,1,10-13H2,2-3H3,(H,28,33)(H,27,29,30)",3.31,29,train
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C33H30N4O2/c1-4-9-30-35-31-21(2)18-24(32-34-27-12-7-8-13-28(27)36(32)3)19-29(31)37(30)20-22-14-16-23(17-15-22)25-10-5-6-11-26(25)33(38)39/h5-8,10-19H,4,9,20H2,1-3H3,(H,38,39)",3.98,30,train
N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,True,(),0,"InChI=1S/C16H10F3NO3/c17-16(18,19)12-4-5-14(23-9-15(21)22)13(7-12)11-3-1-2-10(6-11)8-20/h1-7H,9H2,(H,21,22)",3.0,31,train
CCOc1ccc2ccc(=O)oc2c1,True,cumarine,1,"InChI=1S/C11H10O3/c1-2-13-9-5-3-8-4-6-11(12)14-10(8)7-9/h3-7H,2H2,1H3",35.48,32,train
Nc1nc2ccc(-c3ccncc3)cc2s1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H9N3S/c13-12-15-10-2-1-9(7-11(10)16-12)8-3-5-14-6-4-8/h1-7H,(H2,13,15)",29.51,33,train
