smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,True,(),0,"InChI=1S/C22H22N4O2/c27-22(16-8-12-28-13-9-16)26-21-15-18(7-11-24-21)17-6-10-23-20(14-17)25-19-4-2-1-3-5-19/h1-7,10-11,14-16H,8-9,12-13H2,(H,23,25)(H,24,26,27)",12.59,0,train
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,True,"quaternary nitrogen, Three-membered heterocycle",2,"InChI=1S/C19H22NO4S2/c1-20(2)12-9-11(10-13(20)17-16(12)24-17)23-18(21)19(22,14-5-3-7-25-14)15-6-4-8-26-15/h3-8,11-13,16-17,22H,9-10H2,1-2H3/q+1/t11-,12-,13+,16-,17+",3.0,1,train
O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,True,Aliphatic long chain,1,"InChI=1S/C26H27Cl2N3O3S/c27-20-5-2-6-21(28)18(20)10-12-29-14-17-4-1-3-16(13-17)9-11-30-15-23(33)19-7-8-22(32)24-25(19)35-26(34)31-24/h1-8,13,23,29-30,32-33H,9-12,14-15H2,(H,31,34)/t23-/m0/s1",63.0,2,train
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C31H26ClFN4O2/c32-28-18-25(8-10-30(28)39-19-21-3-1-5-24(33)15-21)36-31-27-17-23(7-9-29(27)34-20-35-31)22-4-2-6-26(16-22)37-11-13-38-14-12-37/h1-10,15-18,20H,11-14,19H2,(H,34,35,36)",63.1,3,train
O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H10F3N7O/c17-16(18,19)9-5-11(13-12(6-9)20-7-21-13)15(27)22-10-3-1-2-8(4-10)14-23-25-26-24-14/h1-7H,(H,20,21)(H,22,27)(H,23,24,25,26)",4.47,4,train
Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C22H17F3N2O2/c1-12-6-7-18-16(10-12)20(13(2)27(18)11-19(28)29)14-8-9-26-21-15(14)4-3-5-17(21)22(23,24)25/h3-10H,11H2,1-2H3,(H,28,29)",5.6,5,train
O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2c(F)cccc12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C24H24Cl2FN3O4/c25-19-5-4-16(10-20(19)26)34-15-6-8-30(9-7-15)13-14(31)11-28-23(32)18-12-29-24(33)22-17(18)2-1-3-21(22)27/h1-5,10,12,14-15,31H,6-9,11,13H2,(H,28,32)(H,29,33)/t14-/m1/s1",6.0,6,train
N#CC1(NC(=O)C2CCCCC2C(=O)N2CCN(c3nccs3)CC2)CC1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C19H25N5O2S/c20-13-19(5-6-19)22-16(25)14-3-1-2-4-15(14)17(26)23-8-10-24(11-9-23)18-21-7-12-27-18/h7,12,14-15H,1-6,8-11H2,(H,22,25)/t14-,15-/m1/s1",6.92,7,train
Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,True,(),0,"InChI=1S/C30H29N5O4/c1-21-5-8-24(33-30(37)23-11-13-32-28(18-23)35-14-16-38-17-15-35)19-27(21)34-29(36)22-6-9-26(10-7-22)39-20-25-4-2-3-12-31-25/h2-13,18-19H,14-17,20H2,1H3,(H,33,37)(H,34,36)",7.0,8,train
COc1ccc2nc(C)cc(-n3cc(CNC(C)=O)nn3)c2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C16H17N5O2/c1-10-6-16(14-7-13(23-3)4-5-15(14)18-10)21-9-12(19-20-21)8-17-11(2)22/h4-7,9H,8H2,1-3H3,(H,17,22)",7.08,9,train
