smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
CC(=O)Nc1ccccc1,True,(),0,"InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)",1,0,train
CC(=O)Nc1nnc(S(N)(=O)=O)s1,True,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",1,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",1,1,train
Cc1c(N(C)C)c(=N)n(-c2ccccc2)n1C,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C13H18N4/c1-10-12(15(2)3)13(14)17(16(10)4)11-8-6-5-7-9-11/h5-9,14H,1-4H3",1,2,train
COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,True,Aliphatic long chain,1,"InChI=1S/C18H24N2O5S/c1-13-7-8-14(18(11-13)26(19,22)23)15(21)12-20-9-10-25-17-6-4-3-5-16(17)24-2/h3-8,11,15,20-21H,9-10,12H2,1-2H3,(H2,19,22,23)/t15-/m1/s1",1,3,train
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,True,(),0,"InChI=1S/C15H14F3N3O4S2/c16-15(17,18)10-7-11-13(8-12(10)26(19,22)23)27(24,25)21-14(20-11)6-9-4-2-1-3-5-9/h1-5,7-8,14,20-21H,6H2,(H2,19,22,23)/t14-/m0/s1",1,4,train
O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@H]2C=C[C@H]1C2,True,isolated alkene,1,"InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2/t17-,18-,20+,21+/m0/s1",1,5,train
CCN(CC)CCCOC(=O)[C@@]1(c2ccccc2)C[C@@H]2CC[C@@H]1C2,True,Aliphatic long chain,1,"InChI=1S/C21H31NO2/c1-3-22(4-2)13-8-14-24-20(23)21(18-9-6-5-7-10-18)16-17-11-12-19(21)15-17/h5-7,9-10,17,19H,3-4,8,11-16H2,1-2H3/t17-,19-,21-/m1/s1",1,6,train
CCC[C@@H]1O[C@@H]2C[C@@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,True,isolated alkene,1,"InChI=1S/C25H34O6/c1-4-5-21-30-20-11-17-16-7-6-14-10-15(27)8-9-23(14,2)22(16)18(28)12-24(17,3)25(20,31-21)19(29)13-26/h8-10,16-18,20-22,26,28H,4-7,11-13H2,1-3H3/t16-,17+,18-,20+,21+,22-,23-,24-,25+/m0/s1",1,7,train
CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C19H18ClN3O3/c1-22(2)19(25)26-17-18(24)23(3)15-10-9-13(20)11-14(15)16(21-17)12-7-5-4-6-8-12/h4-11,17H,1-3H3/t17-/m0/s1",1,8,train
NC(=O)N1c2ccccc2C=Cc2ccccc21,True,stilbene,1,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",1,9,train
O=NN(CCCl)C(=O)NCCCl,True,"alkyl halide, N-nitroso, Oxygen-nitrogen single bond",3,"InChI=1S/C5H9Cl2N3O2/c6-1-3-8-5(11)10(9-12)4-2-7/h1-4H2,(H,8,11)",1,10,train
OC(O)C(Cl)(Cl)Cl,True,"alkyl halide, het-C-het not in ring",2,"InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H",1,11,train
CCN(CC)CCCCN(C)c1ccnc2cc(Cl)ccc12,True,Aliphatic long chain,1,"InChI=1S/C18H26ClN3/c1-4-22(5-2)13-7-6-12-21(3)18-10-11-20-17-14-15(19)8-9-16(17)18/h8-11,14H,4-7,12-13H2,1-3H3",1,12,train
OC[C@H](O)COc1ccc(Cl)cc1,True,(),0,"InChI=1S/C9H11ClO3/c10-7-1-3-9(4-2-7)13-6-8(12)5-11/h1-4,8,11-12H,5-6H2/t8-/m0/s1",1,13,train
CCC#CC[C@H](C)[C@@H](O)C#C[C@@H]1[C@H]2C/C(=C\COCC(=O)O)C[C@@H]2C[C@@H]1O,True,"Aliphatic long chain, isolated alkene, triple bond",3,"InChI=1S/C22H30O5/c1-3-4-5-6-15(2)20(23)8-7-18-19-12-16(9-10-27-14-22(25)26)11-17(19)13-21(18)24/h9,15,17-21,23-24H,3,6,10-14H2,1-2H3,(H,25,26)/b16-9-/t15-,17+,18+,19-,20-,21-/m0/s1",1,14,train
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,True,(),0,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/t20-/m0/s1",1,15,train
C[C@@]12C[C@@H](O)[C@@H]3[C@H](CC=C4CC(=O)CC[C@]43C)[C@H]1CCC2C(=O)CO,True,isolated alkene,1,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3/t14-,15-,16-,17-,19+,20-,21-/m1/s1",1,16,train
O=c1ccc2ccccc2o1,True,cumarine,1,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,1,17,train
NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](CN1CCCC1)NS2(=O)=O,True,(),0,"InChI=1S/C12H17ClN4O4S2/c13-8-5-9-11(6-10(8)22(14,18)19)23(20,21)16-12(15-9)7-17-3-1-2-4-17/h5-6,12,15-16H,1-4,7H2,(H2,14,18,19)/t12-/m0/s1",1,18,train
CC(=O)Oc1ccc2c3c1O[C@H]1[C@H](OC(C)=O)C=C[C@H]4[C@H](C2)N(C)CCC[C@@]341,True,"isolated alkene, phenol ester",2,"InChI=1S/C22H25NO5/c1-12(24)26-17-7-5-14-11-16-15-6-8-18(27-13(2)25)21-22(15,9-4-10-23(16)3)19(14)20(17)28-21/h5-8,15-16,18,21H,4,9-11H2,1-3H3/t15-,16-,18+,21-,22-/m0/s1",1,19,train
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,True,(),0,"InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3",1,20,train
CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'molecule has a stereo bond in a ring'))",0,"InChI=1S/C33H35N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,15,17,21,25-27,34,42H,7,12-14,16,18H2,1-2H3,(H,35,39)/t21-,25-,26+,27-,32+,33-/m0/s1",1,21,train
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]21C,True,triple bond,1,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17+,18+,19-,20+/m0/s1",1,22,train
CCO,True,(),0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",1,23,train
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C,True,"isolated alkene, triple bond",2,"InChI=1S/C24H32O4/c1-5-24(28-16(3)26)13-11-22-21-8-6-17-14-18(27-15(2)25)7-9-19(17)20(21)10-12-23(22,24)4/h1,14,18-22H,6-13H2,2-4H3/t18-,19-,20-,21+,22+,23-,24+/m0/s1",1,24,train
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,True,(),0,"InChI=1S/C14H10Cl2O3/c15-10-5-6-13(11(16)8-10)19-12-4-2-1-3-9(12)7-14(17)18/h1-6,8H,7H2,(H,17,18)",1,25,train
Nc1[nH]c(=O)ncc1F,True,(),0,"InChI=1S/C4H4FN3O/c5-2-1-7-4(9)8-3(2)6/h1H,(H3,6,7,8,9)",1,26,train
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O,True,"isolated alkene, Michael acceptor",2,"InChI=1S/C31H48O6/c1-17(2)9-8-10-20(28(35)36)26-22-15-24(34)27-29(5)13-12-23(33)18(3)21(29)11-14-30(27,6)31(22,7)16-25(26)37-19(4)32/h9,18,21-25,27,33-34H,8,10-16H2,1-7H3,(H,35,36)/b26-20+/t18-,21-,22-,23+,24+,25-,27+,29+,30+,31-/m0/s1",1,27,train
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,True,Aliphatic long chain,1,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",1,28,train
C[C@@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,True,(),0,"InChI=1S/C13H15F2N3O3S/c1-9(22(2,20)21)13(19,6-18-8-16-7-17-18)11-4-3-10(14)5-12(11)15/h3-5,7-9,19H,6H2,1-2H3/t9-,13+/m0/s1",1,29,train
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,True,(),0,"InChI=1S/C24H34N4O5S/c1-4-21-17(3)15-28(22(21)29)24(31)25-14-13-18-7-11-20(12-8-18)34(32,33)27-23(30)26-19-9-5-16(2)6-10-19/h7-8,11-12,16,19H,4-6,9-10,13-15H2,1-3H3,(H,25,31)(H2,26,27,30)/t16-,19-",1,30,train
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,True,(),0,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)",1,31,train
NCC(=O)O,True,(),0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",1,32,train
CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'molecule has a stereo bond in a ring'))",0,"InChI=1S/C18H24N4O/c1-21-13-6-5-7-14(21)11-12(10-13)19-18(23)17-15-8-3-4-9-16(15)22(2)20-17/h3-4,8-9,12-14H,5-7,10-11H2,1-2H3,(H,19,23)/t12-,13+,14-",1,33,train
O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,True,(),0,"InChI=1S/C21H23ClFNO2/c22-18-4-1-3-17(15-18)21(26)10-13-24(14-11-21)12-2-5-20(25)16-6-8-19(23)9-7-16/h1,3-4,6-9,15,26H,2,5,10-14H2",1,34,train
NNc1nncc2ccccc12,True,"hydrazine, Oxygen-nitrogen single bond",2,"InChI=1S/C8H8N4/c9-11-8-7-4-2-1-3-6(7)5-10-12-8/h1-5H,9H2,(H,11,12)",1,35,train
CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C18H17NO3/c1-2-15(18(21)22)12-7-9-14(10-8-12)19-11-13-5-3-4-6-16(13)17(19)20/h3-10,15H,2,11H2,1H3,(H,21,22)/t15-/m1/s1",1,36,train
COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccccc1,True,(),0,"InChI=1S/C18H15NO4/c1-23-14-7-8-16-15(10-14)13(9-17(20)21)11-19(16)18(22)12-5-3-2-4-6-12/h2-8,10-11H,9H2,1H3,(H,20,21)",1,37,train
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,True,(),0,"InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)",1,38,train
O=[N+]([O-])O[C@H]1CO[C@H]2[C@H]1OC[C@H]2O,True,"nitro group, Oxygen-nitrogen single bond",2,"InChI=1S/C6H9NO6/c8-3-1-11-6-4(13-7(9)10)2-12-5(3)6/h3-6,8H,1-2H2/t3-,4+,5-,6+/m1/s1",1,39,train
Cc1cc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)[C@@H]2C)no1,True,beta-keto/anhydride,1,"InChI=1S/C15H14N2O5S/c1-8-7-12(17-22-8)16-15(19)13-9(2)23(20,21)11-6-4-3-5-10(11)14(13)18/h3-7,9,18H,1-2H3,(H,16,17,19)/t9-/m1/s1",1,40,train
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,True,(),0,"InChI=1S/C22H22FN3O3/c23-17-7-5-15(6-8-17)20(27)16-9-11-25(12-10-16)13-14-26-21(28)18-3-1-2-4-19(18)24-22(26)29/h1-8,16H,9-14H2,(H,24,29)",1,41,train
CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,True,(),0,"InChI=1S/C17H25NO3/c1-17(2,3)18-10-12(19)11-21-16-9-5-6-13-14(16)7-4-8-15(13)20/h5-6,9,12,18-19H,4,7-8,10-11H2,1-3H3/t12-/m0/s1",1,42,train
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CC=C4CC(=O)CCC4[C@@H]3CC[C@@]21CC,True,"isolated alkene, triple bond",2,"InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3/t16-,17-,18+,19+,20-,21+/m0/s1",1,43,train
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'molecule has a stereo bond in a ring'))",0,"InChI=1S/C20H26N4O/c1-4-24(5-2)20(25)22-14-10-16-15-7-6-8-17-19(15)13(11-21-17)9-18(16)23(3)12-14/h6-8,10-11,14,18,21H,4-5,9,12H2,1-3H3,(H,22,25)/t14-,18-/m0/s1",1,44,train
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C16H12Cl2N2O2/c1-20-13-7-6-9(17)8-11(13)14(19-15(21)16(20)22)10-4-2-3-5-12(10)18/h2-8,15,21H,1H3/t15-/m1/s1",1,45,train
CN1C(C(=O)Nc2ccccn2)C(=O)c2sc(Cl)cc2S1(=O)=O,True,beta-keto/anhydride,1,"InChI=1S/C13H10ClN3O4S2/c1-17-10(13(19)16-9-4-2-3-5-15-9)11(18)12-7(23(17,20)21)6-8(14)22-12/h2-6,18H,1H3,(H,15,16,19)",1,46,train
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,True,"isolated alkene, triple bond",2,"InChI=1S/C20H28O/c1-3-20(21)13-11-18-17-9-8-14-6-4-5-7-15(14)16(17)10-12-19(18,20)2/h1,6,15-18,21H,4-5,7-13H2,2H3/t15-,16-,17+,18+,19-,20+/m0/s1",1,47,train
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,True,(),0,"InChI=1S/C14H11Cl2NO2/c1-8-6-7-10(15)13(12(8)16)17-11-5-3-2-4-9(11)14(18)19/h2-7,17H,1H3,(H,18,19)",1,48,train
CC(=O)O[C@]1(C(C)=O)CC[C@@H]2C3=CC(C)=C4CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'molecule has a stereo bond in a ring'))",0,"InChI=1S/C24H32O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h12-13,18-20H,6-11H2,1-5H3/t18-,19-,20+,22-,23+,24-/m0/s1",1,49,train
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,True,(),0,"InChI=1S/C15H21NO2/c1-3-18-14(17)15(9-11-16(2)12-10-15)13-7-5-4-6-8-13/h4-8H,3,9-12H2,1-2H3",1,50,train
CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,True,(),0,"InChI=1S/C15H23NO/c1-3-15(9-4-5-10-16(2)12-15)13-7-6-8-14(17)11-13/h6-8,11,17H,3-5,9-10,12H2,1-2H3/t15-/m0/s1",1,51,train
CN1C(=O)C[C@@](C)(c2ccccc2)C1=O,True,phthalimide,1,"InChI=1S/C12H13NO2/c1-12(9-6-4-3-5-7-9)8-10(14)13(2)11(12)15/h3-7H,8H2,1-2H3/t12-/m0/s1",1,52,train
