smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
COc1ccc(C(=O)N(C)C)cc1,True,(),0,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3",-11.01,0,train
CS(=O)(=O)Cl,True,(),0,"InChI=1S/CH3ClO2S/c1-5(2,3)4/h1H3",-4.87,1,train
CCc1cnccn1,True,(),0,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",-5.45,2,train
CCCCCCCO,True,Aliphatic long chain,1,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-4.21,3,train
C[C@@H]1CCCC[C@@H]1C,True,(),0,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",1.58,4,train
CC[C@H](C)O,True,(),0,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m0/s1",-4.62,5,train
CC[C@@H](O)C(C)C,True,(),0,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1",-3.88,6,train
CCc1ccccn1,True,(),0,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",-4.33,7,train
CCCCC(=O)OCC,True,(),0,"InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3",-2.49,8,train
Sc1ccccc1,True,thiol,1,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",-2.55,9,train
CC(C)=CCC/C(C)=C\CO,True,isolated alkene,1,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-",-4.78,10,train
c1ccc2c(c1)CCC2,True,(),0,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",-1.46,11,train
CCOc1ccccc1,True,(),0,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",-2.22,12,train
Oc1ccc(Br)cc1,True,(),0,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",-5.85,13,train
CCCC(C)(C)C,True,(),0,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",2.88,14,train
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,True,"het-C-het not in ring, phosphor",2,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",-6.1,15,train
OC1CCCCCC1,True,(),0,"InChI=1S/C7H14O/c8-7-5-3-1-2-4-6-7/h7-8H,1-6H2",-5.48,16,train
COC(=O)C1CC1,True,(),0,"InChI=1S/C5H8O2/c1-7-5(6)4-2-3-4/h4H,2-3H2,1H3",-4.1,17,train
CCCCC#N,True,Aliphatic long chain,1,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",-3.52,18,train
CC(C)(C)O,True,(),0,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",-4.47,19,train
CC(C)C(=O)C(C)C,True,(),0,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",-2.74,20,train
CCC=O,True,aldehyde,1,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",-3.43,21,train
CN(C)C=O,True,aldehyde,1,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",-7.81,22,train
Cc1cccc(Nc2ccccc2C(=O)O)c1C,True,(),0,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)",-6.78,23,train
CN(C)C(=O)c1ccccc1,True,(),0,"InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3",-9.29,24,train
CCNCC,True,(),0,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",-4.07,25,train
CC(C)(C)c1ccc(O)cc1,True,(),0,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",-5.91,26,train
CC(C)CCOC=O,True,"aldehyde, Aliphatic long chain",2,"InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3",-2.13,27,train
CCOC(=O)CC,True,(),0,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",-2.68,28,train
CNC(C)=O,True,(),0,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",-10.0,29,train
