smiles_clean,valid,comment,n_reos_warnings,inchi,label_raw,id,split
COc1ccc(CCn2c(N)cc(=O)[nH]c2=S)cc1OC,True,Thiocarbonyl group,1,"InChI=1S/C14H17N3O3S/c1-19-10-4-3-9(7-11(10)20-2)5-6-17-12(15)8-13(18)16-14(17)21/h3-4,7-8H,5-6,15H2,1-2H3,(H,16,18,21)",0,0,train
COc1ccc(Cl)cc1C(=O)Nc1ccc(NC(=O)c2ccco2)cc1,True,(),0,"InChI=1S/C19H15ClN2O4/c1-25-16-9-4-12(20)11-15(16)18(23)21-13-5-7-14(8-6-13)22-19(24)17-3-2-10-26-17/h2-11H,1H3,(H,21,23)(H,22,24)",1,1,train
Cn1c2ccccc2c(=O)c2c(=O)n(-c3ccccc3)c(C3CCCCC3)nc21,True,Polycyclic aromatic hydrocarbon,1,"InChI=1S/C24H23N3O2/c1-26-19-15-9-8-14-18(19)21(28)20-23(26)25-22(16-10-4-2-5-11-16)27(24(20)29)17-12-6-3-7-13-17/h3,6-9,12-16H,2,4-5,10-11H2,1H3",1,2,train
Cc1ccc(NS(=O)(=O)c2cccc(C(=O)O)c2)cc1S(=O)(=O)N1CCOCC1,True,(),0,"InChI=1S/C18H20N2O7S2/c1-13-5-6-15(12-17(13)29(25,26)20-7-9-27-10-8-20)19-28(23,24)16-4-2-3-14(11-16)18(21)22/h2-6,11-12,19H,7-10H2,1H3,(H,21,22)",1,3,train
COc1cc(-c2nc(-c3ccccc3)c(-c3cccs3)[nH]2)cc(OC)c1O,True,(),0,"InChI=1S/C21H18N2O3S/c1-25-15-11-14(12-16(26-2)20(15)24)21-22-18(13-7-4-3-5-8-13)19(23-21)17-9-6-10-27-17/h3-12,24H,1-2H3,(H,22,23)",1,4,train
CN(C)c1ccnc2sc(C(N)=O)c(N)c12,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C10H12N4OS/c1-14(2)5-3-4-13-10-6(5)7(11)8(16-10)9(12)15/h3-4H,11H2,1-2H3,(H2,12,15)",1,5,train
N=c1c2ccccc2nnn1-c1ccc(C(F)(F)F)cc1,True,"((5, 'molecule has a crossed bond in a ring'), (2, 'InChI: Omitted undefined stereo'))",0,"InChI=1S/C14H9F3N4/c15-14(16,17)9-5-7-10(8-6-9)21-13(18)11-3-1-2-4-12(11)19-20-21/h1-8,18H",1,6,train
O=C(O)c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1O,True,cumarine,1,"InChI=1S/C19H12N2O5S/c22-15-8-11(5-6-12(15)17(23)24)20-19-21-14(9-27-19)13-7-10-3-1-2-4-16(10)26-18(13)25/h1-9,22H,(H,20,21)(H,23,24)",0,7,train
COc1ccc(C2=Nn3c([n+](C)c4ccccc43)SC2)cc1,True,quaternary nitrogen,1,"InChI=1S/C17H16N3OS.BrH/c1-19-15-5-3-4-6-16(15)20-17(19)22-11-14(18-20)12-7-9-13(21-2)10-8-12;/h3-10H,11H2,1-2H3;1H/q+1;/p-1",0,8,train
Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C18H14N4S.C2H6O/c19-17-15-10-14(7-8-16(15)21-18(20)22-17)23-13-6-5-11-3-1-2-4-12(11)9-13;1-2-3/h1-10H,(H4,19,20,21,22);3H,2H2,1H3",1,9,train
O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(-n2cnnn2)c1,True,(),0,"InChI=1S/C16H11N7OS/c24-15(11-4-3-5-12(8-11)23-10-18-21-22-23)20-16-19-14(9-25-16)13-6-1-2-7-17-13/h1-10H,(H,19,20,24)",1,10,train
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4ccccc4)CC3)nc21,True,Thiocarbonyl group,1,"InChI=1S/C21H22N6O3S/c1-2-25-13-16(19(29)30)17(28)15-12-22-20(24-18(15)25)26-8-10-27(11-9-26)21(31)23-14-6-4-3-5-7-14/h3-7,12-13H,2,8-11H2,1H3,(H,23,31)(H,29,30)",1,11,train
O=C(Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1)c1cncc(Br)c1,True,(),0,"InChI=1S/C23H20BrFN4O2/c24-17-13-16(14-26-15-17)22(30)27-18-5-7-19(8-6-18)28-9-11-29(12-10-28)23(31)20-3-1-2-4-21(20)25/h1-8,13-15H,9-12H2,(H,27,30)",1,12,train
O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1,True,catechol,1,"InChI=1S/C17H16N2O3/c20-15-4-2-1-3-14(15)19-17(22)12-7-9-13(10-8-12)18-16(21)11-5-6-11/h1-4,7-11,20H,5-6H2,(H,18,21)(H,19,22)",1,13,train
C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NCC(=O)NC(C(=O)O)C(C)C)CC[C@]4(C)C3CC[C@@]21C,True,"imine, Oxygen-nitrogen single bond, triple bond",3,"InChI=1S/C30H43N3O6/c1-6-30(38)14-11-23-21-8-7-19-15-20(9-12-28(19,4)22(21)10-13-29(23,30)5)33-39-17-25(35)31-16-24(34)32-26(18(2)3)27(36)37/h1,15,18,21-23,26,38H,7-14,16-17H2,2-5H3,(H,31,35)(H,32,34)(H,36,37)/b33-20+/t21?,22?,23?,26?,28-,29-,30?/m0/s1",0,14,train
CS(=O)(=O)c1ccc2nc(NC(=O)C3CC3)sc2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C12H12N2O3S2/c1-19(16,17)8-4-5-9-10(6-8)18-12(13-9)14-11(15)7-2-3-7/h4-7H,2-3H2,1H3,(H,13,14,15)",1,15,train
Cc1nc2c(-c3ccccc3)cnn2c(N)c1-c1ccccc1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H16N4/c1-13-17(15-10-6-3-7-11-15)18(20)23-19(22-13)16(12-21-23)14-8-4-2-5-9-14/h2-12H,20H2,1H3",1,16,train
COc1c(O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,True,"((2, 'InChI: Omitted undefined stereo'),)",0,"InChI=1S/C21H23NO5S/c1-11(23)22-15-7-5-12-9-17(25)20(26-2)21(27-3)19(12)13-6-8-18(28-4)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)",1,17,train
O=C1CCCCc2cc(O)c(O)cc21,True,catechol,1,"InChI=1S/C11H12O3/c12-9-4-2-1-3-7-5-10(13)11(14)6-8(7)9/h5-6,13-14H,1-4H2",1,18,train
CS(=O)(=O)Nc1cccc(-c2nccc(-n3ccnc3)n2)c1,True,(),0,"InChI=1S/C14H13N5O2S/c1-22(20,21)18-12-4-2-3-11(9-12)14-16-6-5-13(17-14)19-8-7-15-10-19/h2-10,18H,1H3",1,19,train
Cc1noc(C)c1-c1ccc2ncnc(N3CCC(C(=O)O)CC3)c2c1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C19H20N4O3/c1-11-17(12(2)26-22-11)14-3-4-16-15(9-14)18(21-10-20-16)23-7-5-13(6-8-23)19(24)25/h3-4,9-10,13H,5-8H2,1-2H3,(H,24,25)",0,20,train
Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,True,"((5, 'molecule has a crossed bond in a ring'),)",0,"InChI=1S/C21H20N6O.2ClH/c1-11-7-17(22)15-9-13(3-5-19(15)24-11)26-21(28)27-14-4-6-20-16(10-14)18(23)8-12(2)25-20;;/h3-10H,1-2H3,(H2,22,24)(H2,23,25)(H2,26,27,28);2*1H",0,21,train
